year_index,generation_fuel,stocks,boiler_fuel,generator,fuel_receipts_costs,plant_frame
2009,0,1,5,6,7,-1
2010,0,1,5,6,7,-1
2011,0,1,5,6,7,8
2012,0,1,5,6,7,8
2013,0,1,5,6,7,8
2014,0,1,5,6,7,8
2015,0,1,5,6,7,8
2016,0,1,5,6,7,8
2017,0,2,6,7,8,9
