row_name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
transmission_acct350_land,44,44,44,44,44,44,44,44,44,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
transmission_acct352_structures,45,45,45,45,45,45,45,45,45,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
transmission_acct353_station_equip,46,46,46,46,46,46,46,46,46,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
transmission_acct354_towers,47,47,47,47,47,47,47,47,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
transmission_acct355_poles,48,48,48,48,48,48,48,48,48,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
transmission_acct356_overhead_conductors,49,49,49,49,49,49,49,49,49,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
transmission_acct357_underground_conduit,50,50,50,50,50,50,50,50,50,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
transmission_acct358_underground_conductors,51,51,51,51,51,51,51,51,51,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
transmission_acct359_roads_trails,52,52,52,52,52,52,52,52,52,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
transmission_acct359_1_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
transmission_total,53,53,53,53,53,53,53,53,53,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
distribution_head,54,54,54,54,54,54,54,54,54,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
distribution_acct360_land,55,55,55,55,55,55,55,55,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
distribution_acct361_structures,56,56,56,56,56,56,56,56,56,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
distribution_acct362_station_equip,57,57,57,57,57,57,57,57,57,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
distribution_acct363_storage_battery_equip,58,58,58,58,58,58,58,58,58,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
distribution_acct364_poles_towers,59,59,59,59,59,59,59,59,59,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
distribution_acct365_overhead_conductors,60,60,60,60,60,60,60,60,60,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
distribution_acct366_underground_conduit,61,61,61,61,61,61,61,61,61,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
distribution_acct367_underground_conductors,62,62,62,62,62,62,62,62,62,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
distribution_acct368_line_transformers,63,63,63,63,63,63,63,63,63,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
distribution_acct369_services,64,64,64,64,64,64,64,64,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
distribution_acct370_meters,65,65,65,65,65,65,65,65,65,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
distribution_acct371_customer_installations,66,66,66,66,66,66,66,66,66,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
distribution_acct372_leased_property,67,67,67,67,67,67,67,67,67,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
distribution_acct373_street_lighting,68,68,68,68,68,68,68,68,68,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
distribution_acct374_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
distribution_total,69,69,69,69,69,69,69,69,69,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
rtmo_head,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
rtmo_acct380_land,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
rtmo_acct381_structures,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
rtmo_acct382_computer_hardware,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
rtmo_acct383_computer_software,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
rtmo_acct384_communication_equip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
rtmo_acct385_misc_equip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
rtmo_acct386_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
rtmo_total,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
general_head,70,70,70,70,70,70,70,70,70,76,76,76,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
general_acct389_land,71,71,71,71,71,71,71,71,71,77,77,77,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
general_acct390_structures,72,72,72,72,72,72,72,72,72,78,78,78,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
general_acct391_office_equip,73,73,73,73,73,73,73,73,73,79,79,79,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
general_acct392_transportation_equip,74,74,74,74,74,74,74,74,74,80,80,80,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
general_acct393_stores_equip,75,75,75,75,75,75,75,75,75,81,81,81,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
general_acct394_shop_equip,76,76,76,76,76,76,76,76,76,82,82,82,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
general_acct395_lab_equip,77,77,77,77,77,77,77,77,77,83,83,83,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
general_acct396_power_operated_equip,78,78,78,78,78,78,78,78,78,84,84,84,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
general_acct397_communication_equip,79,79,79,79,79,79,79,79,79,85,85,85,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
general_acct398_misc_equip,80,80,80,80,80,80,80,80,80,86,86,86,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
general_subtotal,81,81,81,81,81,81,81,81,81,87,87,87,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
general_acct399_other_property,82,82,82,82,82,82,82,82,82,88,88,88,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
general_acct399_1_asset_retirement,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,89,89,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
general_total,83,83,83,83,83,83,83,83,83,90,90,90,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
major_electric_plant_acct101_acct106_total,84,84,84,84,84,84,84,84,84,91,91,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
electric_plant_purchased_acct102,85,85,85,85,85,85,85,85,85,92,92,92,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
electric_plant_sold_acct102,86,86,86,86,86,86,86,86,86,93,93,93,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
experimental_plant_acct103,87,87,87,87,87,87,87,87,87,94,94,94,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
electric_plant_in_service_total,88,88,88,88,88,88,88,88,88,95,95,95,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
