year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
repaired_leaks_transmission_internal_corrosion_onshore_class_1_class_2_nonhca_nonmca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12ic,partmtlfcl12ic
repaired_leaks_transmission_internal_corrosion_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca
repaired_leaks_transmission_internal_corrosion_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca
repaired_failures_transmission_internal_corrosion,,,,,,,,,,,,,,,,,,,,,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca
repaired_leaks_gathering_internal_corrosion_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona
repaired_leaks_gathering_internal_corrosion_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb
repaired_leaks_gathering_internal_corrosion_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgciconc,partmgciconc
repaired_leaks_gathering_internal_corrosion_offshore,,,,,,,,,,,,,,,,,,,,,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff
repaired_leaks_transmission_stress_corrosion_cracking_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca
repaired_leaks_transmission_stress_corrosion_cracking_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcasc,partmtlfmcasc
