year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
offshore_transmission_composite,,,,,,,,,,,,,,,,,,,,,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc,partptoffc
offshore_transmission_other,,,,,,,,,,,,,,,,,,,,,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo,partptoffo
offshore_transmission_total,,,,,,,,,,,,,,,,,,,,,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal,partptofftotal
total_transmission_steel_cathodically_protected_bare,,,,,,,,,,,,,,,,,,,,,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal,partptcpbtotal
total_transmission_steel_cathodically_protected_coated,,,,,,,,,,,,,,,,,,,,,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal,partptcpctotal
total_transmission_steel_cathodically_unprotected_bare,,,,,,,,,,,,,,,,,,,,,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal,partptcubtotal
total_transmission_steel_cathodically_unprotected_coated,,,,,,,,,,,,,,,,,,,,,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal,partptcuctotal
total_transmission_cast_iron,,,,,,,,,,,,,,,,,,,,,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal,partptcitotal
total_transmission_wrought_iron,,,,,,,,,,,,,,,,,,,,,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal,partptwictotal
total_transmission_plastic,,,,,,,,,,,,,,,,,,,,,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal,partptptotal
