year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate,report_state,onshore_transmission_pipe_unknown_size_miles,onshore_transmission_pipe_nps_4_or_less_miles,onshore_transmission_pipe_nps_4_to_10_miles,onshore_transmission_pipe_nps_10_to_20_miles,onshore_transmission_pipe_nps_20_to_28_miles,onshore_transmission_pipe_nps_28_and_over_miles,onshore_transmission_pipe_nps_6_miles,onshore_transmission_pipe_nps_8_miles,onshore_transmission_pipe_nps_10_miles,onshore_transmission_pipe_nps_12_miles,onshore_transmission_pipe_nps_14_miles,onshore_transmission_pipe_nps_16_miles,onshore_transmission_pipe_nps_18_miles,onshore_transmission_pipe_nps_20_miles,onshore_transmission_pipe_nps_22_miles,onshore_transmission_pipe_nps_24_miles,onshore_transmission_pipe_nps_26_miles,onshore_transmission_pipe_nps_28_miles,onshore_transmission_pipe_nps_30_miles,onshore_transmission_pipe_nps_32_miles,onshore_transmission_pipe_nps_34_miles,onshore_transmission_pipe_nps_36_miles,onshore_transmission_pipe_nps_38_miles,onshore_transmission_pipe_nps_40_miles,onshore_transmission_pipe_nps_42_miles,onshore_transmission_pipe_nps_44_miles,onshore_transmission_pipe_nps_46_miles,onshore_transmission_pipe_nps_48_miles,onshore_transmission_pipe_nps_52_miles,onshore_transmission_pipe_nps_56_miles,onshore_transmission_pipe_nps_58_and_over_miles,onshore_transmission_pipe_other_size_total_miles,onshore_transmission_pipe_other_size_detail_miles,onshore_transmission_pipe_total_miles,offshore_transmission_pipe_nps_4_or_less_miles,offshore_transmission_pipe_nps_4_to_10_miles,offshore_transmission_pipe_nps_10_to_20_miles,offshore_transmission_pipe_nps_20_to_28_miles,offshore_transmission_pipe_nps_28_and_over_miles,offshore_transmission_pipe_nps_6_miles,offshore_transmission_pipe_nps_8_miles,offshore_transmission_pipe_nps_10_miles,offshore_transmission_pipe_nps_12_miles,offshore_transmission_pipe_nps_14_miles,offshore_transmission_pipe_nps_16_miles,offshore_transmission_pipe_nps_18_miles,offshore_transmission_pipe_nps_20_miles,offshore_transmission_pipe_nps_22_miles,offshore_transmission_pipe_nps_24_miles,offshore_transmission_pipe_nps_26_miles,offshore_transmission_pipe_nps_28_miles,offshore_transmission_pipe_nps_30_miles,offshore_transmission_pipe_nps_32_miles,offshore_transmission_pipe_nps_34_miles,offshore_transmission_pipe_nps_36_miles,offshore_transmission_pipe_nps_38_miles,offshore_transmission_pipe_nps_40_miles,offshore_transmission_pipe_nps_42_miles,offshore_transmission_pipe_nps_44_miles,offshore_transmission_pipe_nps_46_miles,offshore_transmission_pipe_nps_48_miles,offshore_transmission_pipe_nps_52_miles,offshore_transmission_pipe_nps_56_miles,offshore_transmission_pipe_nps_58_and_over_miles,offshore_transmission_pipe_other_size_total_miles,offshore_transmission_pipe_other_size_detail_miles,offshore_transmission_pipe_unknown_size_miles,offshore_transmission_pipe_total_miles
2000,,yr,rptid,,opid,name,,,stop,t2m1_1,t2m1_2,t2m1_3,t2m1_4,t2m1_5,t2m1_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,t2m1t,t2m2_2,t2m2_3,t2m2_4,t2m2_5,t2m2_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,t2m2_1,t2m2t
2001,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2002,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2003,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2004,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2005,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2006,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2007,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2008,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2009,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2ton_1,b2ton_2,b2ton_3,b2ton_4,b2ton_5,b2ton_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ton_t,b2toff_2,b2toff_3,b2toff_4,b2toff_5,b2toff_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2toff_1,b2toff_t
2010,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2011,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2012,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2013,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2014,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2015,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2016,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2017,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2018,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2019,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2020,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2021,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2022,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2023,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
2024,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,parthon4less,,,,,parthon6,parthon8,parthon10,parthon12,parthon14,parthon16,parthon18,parthon20,parthon22,parthon24,parthon26,parthon28,parthon30,parthon32,parthon34,parthon36,parthon38,parthon40,parthon42,parthon44,parthon46,parthon48,parthon52,parthon56,parthon58over,parthon_other_pipe_mile_total,parthon_other_pipe_detail,parthontotal,parthoff4less,,,,,parthoff6,parthoff8,parthoff10,parthoff12,parthoff14,parthoff16,parthoff18,parthoff20,parthoff22,parthoff24,parthoff26,parthoff28,parthoff30,parthoff32,parthoff34,parthoff36,parthoff38,parthoff40,parthoff42,parthoff44,parthoff46,parthoff48,parthoff52,parthoff56,parthoff58over,parthoff_other_pipe_mile_total,parthoff_other_pipe_detail,,parthofftotal
