year_index,1970,1980,1982,1984,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
headquarters_zip,,,,zip_1,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hzip,hqzip,hqzip,hqzip,hqzip,hqzip,hqzip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip,hq_address_zip
commodity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commodity,commodity,commodity,commodity,commodity,commodity,commodity,commodity,commodity,commodity
operating_state,,states_in_which_systems_operates,state_of_operation,states_in_which_systems_operates,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop
operating_state_fips,states_in_which_systems_operates_fips_code_29_missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operator_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operator_type,operator_type,operator_type,operator_type,operator_type,operator_type,operator_type,operator_type,operator_type,operator_type
main_unprotected_steel_bare_miles,,,,bare,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,b1m_1,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare,mmiles_steel_unp_bare
main_unprotected_steel_coated_miles,,,,coated,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,b1m_2,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated,mmiles_steel_unp_coated
main_cathodically_protected_steel_bare_miles,miles_of_main_2,miles_of_main_2,c2m8,bare_1,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,b1m_3,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare,mmiles_steel_cp_bare
main_cathodically_protected_steel_coated_miles,miles_of_main_1,miles_of_main_1,c1m8,coated_1,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,b1m_4,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated,mmiles_steel_cp_coated
main_plastic_miles,,,,unnamed_9,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,b1m_5,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic,mmiles_plastic
main_cast_or_wrought_iron_miles,,,,unnamed_10,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,b1m_6,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci,mmiles_ci
main_ductile_iron_miles,,,,unnamed_11,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,b1m_7,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di,mmiles_di
main_copper_miles,,,,unnamed_12,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,b1m_8,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu,mmiles_cu
main_other_miles,,,,unnamed_13,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,b1m_9,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other,mmiles_other
main_other_alt_miles,,,,unnamed_14,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,b1m_10,,,,,,,,,,,,,,,
main_reconditioned_cast_iron_miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mmiles_rci,mmiles_rci,mmiles_rci,mmiles_rci,mmiles_rci,mmiles_rci,mmiles_rci,mmiles_rci,mmiles_rci,mmiles_rci
main_total_miles,miles_of_main,miles_of_main,b1m8,total,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,b1mt,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total,mmiles_total
services_unprotected_steel_bare,,,,bare_2,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,b1s_1,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare,num_srvs_steel_unp_bare
services_unprotected_steel_coated,,,,coated_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,b1s_2,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated,num_srvs_steel_unp_coated
services_cathodically_protected_steel_bare,no_of_services_2,no_of_services_2,c2s8,bare_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,b1s_3,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare,num_srvs_steel_cp_bare
services_cathodically_protected_steel_coated,no_of_services_1,no_of_services_1,c1s8,coated_3,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,b1s_4,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated,num_srvs_steel_cp_coated
services_plastic,,,,unnamed_20,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,b1s_5,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic,num_srvs_plastic
services_cast_or_wrought_iron,,,,unnamed_21,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,b1s_6,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci,num_srvs_ci
services_ductile_iron,,,,unnamed_22,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,b1s_7,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di,num_srvs_di
