year_index,1970,1980,1982,1984,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
main_steel_8_in_miles,8,8,g1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_steel_8_to_12_in_miles,,,,over_8_thru_12,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,stm_5,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in,mmiles_steel_8in_to_12in
main_steel_10_in_miles,10,10,g1_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_steel_12_in_miles,12,12,g1_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_steel_over_12_in_miles,over_12,over_12,g1_8,over_12,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,stm_6,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in,mmiles_steel_gt12in
main_steel_total_miles,total,total,g1_9,total_2,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,stmt,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total,mmiles_steel_total
main_ductile_iron_unknown_miles,,,,unknown_1,dim_1,dim_1,dim_1,dim_1_integer,dim_1_integer,dim_1_integer,dim_1_integer,dim_1_integer,dim_1,dim_1,dim_1,dim_1,dim_1,dim_1,dim_1,dim_1,dim_1,dim_1,dim_1,dim_1,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk,mmiles_di_unk
main_ductile_iron_1_in_or_less_miles,1_or_less_3,1_or_less_3,g4_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_ductile_iron_1_to_2_in_miles,over_1_thru_2_3,over_1_thru_2_3,g4_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_ductile_iron_2_in_or_less_miles,,,,2_or_less_1,dim_2,dim_2,dim_2,dim_2_integer,dim_2_integer,dim_2_integer,dim_2_integer,dim_2_integer,dim_2,dim_2,dim_2,dim_2,dim_2,dim_2,dim_2,dim_2,dim_2,dim_2,dim_2,dim_2,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in,mmiles_di_lt2in
main_ductile_iron_2_to_4_in_miles,over_2_thru_4_3,over_2_thru_4_3,g4_3,over_2_thru_4_1,dim_3,dim_3,dim_3,dim_3_integer,dim_3_integer,dim_3_integer,dim_3_integer,dim_3_integer,dim_3,dim_3,dim_3,dim_3,dim_3,dim_3,dim_3,dim_3,dim_3,dim_3,dim_3,dim_3,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in,mmiles_di_2in_to_4in
main_ductile_iron_4_to_6_in_miles,over_4_thru_6_3,over_4_thru_6_3,g4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_ductile_iron_4_to_8_in_miles,,,,over_4_thru_8_n1,dim_4,dim_4,dim_4,dim_4_integer,dim_4_integer,dim_4_integer,dim_4_integer,dim_4_integer,dim_4,dim_4,dim_4,dim_4,dim_4,dim_4,dim_4,dim_4,dim_4,dim_4,dim_4,dim_4,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in,mmiles_di_4in_to_8in
main_ductile_iron_8_to_12_in_miles,,,,over_8_thru_12_1,dim_5,dim_5,dim_5,dim_5_integer,dim_5_integer,dim_5_integer,dim_5_integer,dim_5_integer,dim_5,dim_5,dim_5,dim_5,dim_5,dim_5,dim_5,dim_5,dim_5,dim_5,dim_5,dim_5,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in,mmiles_di_8in_to_12in
main_ductile_iron_8_in_miles,8_3,8_3,g4_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_ductile_iron_10_in_miles,10_3,10_3,g4_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_ductile_iron_12_in_miles,12_3,12_3,g4_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_ductile_iron_over_12_in_miles,over_12_3,over_12_3,g4_8,over_12_1,dim_6,dim_6,dim_6,dim_6_integer,dim_6_integer,dim_6_integer,dim_6_integer,dim_6_integer,dim_6,dim_6,dim_6,dim_6,dim_6,dim_6,dim_6,dim_6,dim_6,dim_6,dim_6,dim_6,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in,mmiles_di_gt12in
main_ductile_iron_total_miles,total_3,total_3,g4_9,total_3,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,dimt,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total,mmiles_di_total
main_copper_unknown_miles,,,,unknown_2,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,cum_1,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk,mmiles_cu_unk
main_copper_1_in_or_less_miles,1_or_less_4,1_or_less_4,g5_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_copper_1_to_2_in_miles,over_1_thru_2_4,over_1_thru_2_4,g5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_copper_2_in_or_less_miles,,,,2_or_less_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,cum_2,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in,mmiles_cu_lt2in
main_copper_2_to_4_in_miles,over_2_thru_4_4,over_2_thru_4_4,g5_3,over_2_thru_4_2,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,cum_3,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in,mmiles_cu_2in_to_4in
main_copper_4_to_6_in_miles,over_4_thru_6_4,over_4_thru_6_4,g5_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_copper_4_to_8_in_miles,,,,over_4_thru_8_n2,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,cum_4,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in,mmiles_cu_4in_to_8in
main_copper_8_to_12_in_miles,,,,over_8_thru_12_2,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,cum_5,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in,mmiles_cu_8in_to_12in
main_copper_8_in_miles,8_4,8_4,g5_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_copper_10_in_miles,10_4,10_4,g5_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_copper_12_in_miles,12_4,12_4,g5_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_copper_over_12_in_miles,over_12_4,over_12_4,g5_8,over_12_2,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,cum_6,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in,mmiles_cu_gt12in
main_copper_total_miles,total_4,total_4,g5_9,total_4,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,cumt,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total,mmiles_cu_total
main_cast_or_wrought_iron_unknown_miles,,,,unknown_3,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,cim_1,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk,mmiles_ci_wr_unk
main_cast_or_wrought_iron_2_in_or_less_miles,,,,2_or_less_3,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,cim_2,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in,mmiles_ci_wr_lt2in
main_cast_or_wrought_iron_2_to_4_in_miles,,,,over_2_thru_4_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,cim_3,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in,mmiles_ci_wr_2in_to_4in
main_cast_or_wrought_iron_4_to_8_in_miles,,,,over_4_thru_8_n3,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,cim_4,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in,mmiles_ci_wr_4in_to_8in
main_cast_or_wrought_iron_8_to_12_in_miles,,,,over_8_thru_12_3,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,cim_5,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in,mmiles_ci_wr_8in_to_12in
main_cast_or_wrought_iron_over_12_in_miles,,,,over_12_3,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,cim_6,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in,mmiles_ci_wr_gt12in
main_cast_or_wrought_iron_total_miles,,,,total_5,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,cimt,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total,mmiles_ci_wr_total
main_wrought_iron_1_in_or_less_miles,1_or_less_1,1_or_less_1,g2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_1_to_2_in_miles,over_1_thru_2_1,over_1_thru_2_1,g2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_2_to_4_in_miles,over_2_thru_4_1,over_2_thru_4_1,g2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_4_to_6_in_miles,over_4_thru_6_1,over_4_thru_6_1,g2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_8_in_miles,8_1,8_1,g2_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_10_in_miles,10_1,10_1,g2_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_12_in_miles,12_1,12_1,g2_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_over_12_in_miles,over_12_1,over_12_1,g2_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_wrought_iron_total_miles,total_1,total_1,g2_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_1_in_or_less_miles,1_or_less_2,1_or_less_2,g3_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_1_to_2_in_miles,over_1_thru_2_2,over_1_thru_2_2,g3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_2_to_4_in_miles,over_2_thru_4_2,over_2_thru_4_2,g3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_4_to_6_in_miles,over_4_thru_6_2,over_4_thru_6_2,g3_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_8_in_miles,8_2,8_2,g3_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_10_in_miles,10_2,10_2,g3_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_12_in_miles,12_2,12_2,g3_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_over_12_in_miles,over_12_2,over_12_2,g3_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_cast_iron_total_miles,total_2,total_2,g3_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_pvc_unknown_miles,,,,unknown_4,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,pvcm_1,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk,mmiles_plastic_unk
main_pvc_2_in_or_less_miles,,,,2_or_less_4,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,pvcm_2,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in,mmiles_plastic_lt2in
main_pvc_2_to_4_in_miles,,,,over_2_thru_4_4,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,pvcm_3,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in,mmiles_plastic_2in_to_4in
main_pvc_4_to_8_in_miles,,,,over_4_thru_8_n4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,pvcm_4,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in,mmiles_plastic_4in_to_8in
main_pvc_8_to_12_in_miles,,,,over_8_thru_12_4,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,pvcm_5,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in,mmiles_plastic_8in_to_12in
main_pvc_over_12_in_miles,,,,over_12_4,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,pvcm_6,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in,mmiles_plastic_gt12in
main_pvc_total_miles,,,,total_6,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,pvcmt,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total,mmiles_plastic_total
main_pe_unknown_miles,,,,unknown_5,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,pem_1,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk,mmiles_pe_unk
