year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate,report_state,onshore_transmission_pipe_class_1_miles,onshore_transmission_pipe_class_2_miles,onshore_transmission_pipe_class_3_miles,onshore_transmission_pipe_class_4_miles,onshore_transmission_pipe_class_total_miles,onshore_transmission_pipe_hca_miles,onshore_transmission_pipe_192_710_miles,onshore_transmission_pipe_class_3_or_4_only_miles,onshore_transmission_pipe_class_1_or_2_only_miles,offshore_transmission_pipe_class_1_miles,offshore_transmission_pipe_class_total_miles,offshore_transmission_pipe_hca_miles,offshore_transmission_pipe_192_710_miles,offshore_transmission_pipe_class_3_or_4_only_miles,offshore_transmission_pipe_class_1_or_2_only_miles,transmission_pipe_class_1_miles,transmission_pipe_class_2_miles,transmission_pipe_class_3_miles,transmission_pipe_class_4_miles,transmission_pipe_class_total_miles,transmission_pipe_hca_miles,transmission_pipe_192_710_miles,transmission_pipe_class_3_or_4_only_miles,transmission_pipe_class_1_or_2_only_miles,onshore_gathering_pipe_class_1_miles,onshore_gathering_pipe_class_2_miles,onshore_gathering_pipe_class_3_miles,onshore_gathering_pipe_class_4_miles,onshore_gathering_pipe_class_total_miles,onshore_type_a_gathering_pipe_class_total_miles,onshore_type_a_gathering_pipe_class_2_miles,onshore_type_a_gathering_pipe_class_3_miles,onshore_type_a_gathering_pipe_class_4_miles,onshore_type_a_gathering_pipe_class_total_miles,onshore_type_b_gathering_pipe_class_2_miles,onshore_type_b_gathering_pipe_class_3_miles,onshore_type_b_gathering_pipe_class_4_miles,onshore_type_b_gathering_pipe_class_total_miles,onshore_type_c_gathering_pipe_class_1_miles,onshore_type_c_gathering_pipe_class_total_miles,offshore_gathering_pipe_class_1_miles,offshore_gathering_pipe_class_total_miles,gathering_pipe_class_1_miles,gathering_pipe_class_2_miles,gathering_pipe_class_3_miles,gathering_pipe_class_4_miles,gathering_pipe_class_total_miles,total_pipe_class_1_miles,total_pipe_class_2_miles,total_pipe_class_3_miles,total_pipe_class_4_miles,total_pipe_class_total_miles
2009,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b4ton_1,b4ton_2,b4ton_3,b4ton_4,b4ton_t,,,,,b4toff,,,,,,,,,,,,,,,b4gon_1,b4gon_2,b4gon_3,b4gon_4,b4gon_t,,,,,,,,,,,,b4goff,,,,,,,b4total_1,b4total_2,b4total_3,b4total_4,b4total_t
2010,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2011,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2012,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2013,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2014,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2015,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2016,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2017,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2018,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2019,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2020,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2021,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2022,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2023,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
2024,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,partltonc1,partltonc2,partltonc3,partltonc4,partltontot,partltronhca,partltron192miles,partltronclass34,partltronclass12,partltoffc1,partltofftot,partltroffhca,partltroff192miles,partltroffclass34,partltroffclass12,partltc1tot,partltc2tot,partltc3tot,partltc4tot,partlttotal,partltrhcatotal,partltr192milestotal,partltrclass34total,partltrclass12total,,,,,,,partlgonac2,partlgonac3,partlgonac4,partlgonatot,partlgonbc2,partlgonbc3,partlgonbc4,partlgonbtot,partlgoncc1,partlgonctot,partlgoffc1,partlgofftot,partlgc1tot,partlgc2tot,partlgc3tot,partlgc4tot,partlgtotal,partlc1tot,partlc2tot,partlc3tot,partlc4tot,partltotal
