year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
operator_id_phmsa,,,,,,,,,,,,,,,,,,,,,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
report_number,,,,,,,,,,,,,,,,,,,,,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
report_year,,,,,,,,,,,,,,,,,,,,,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_state,,,,,,,,,,,,,,,,,,,,,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
supplemental_report_number,,,,,,,,,,,,,,,,,,,,,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
onshore_steel_pipe_smys_41_to_50_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1,partk4150c1
onshore_steel_pipe_smys_41_to_50_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2,partk4150c2
onshore_steel_pipe_smys_41_to_50_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3,partk4150c3
onshore_steel_pipe_smys_41_to_50_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4,partk4150c4
onshore_steel_pipe_smys_41_to_50_class_total_miles,,,,,,,,,,,,,,,,,,,,,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot,partk4150tot
onshore_steel_pipe_smys_51_to_60_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1,partk5160c1
onshore_steel_pipe_smys_51_to_60_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2,partk5160c2
onshore_steel_pipe_smys_51_to_60_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3,partk5160c3
onshore_steel_pipe_smys_51_to_60_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4,partk5160c4
onshore_steel_pipe_smys_51_to_60_class_total_miles,,,,,,,,,,,,,,,,,,,,,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot,partk5160tot
onshore_steel_pipe_smys_61_to_72_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1,partk6172c1
onshore_steel_pipe_smys_61_to_72_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2,partk6172c2
onshore_steel_pipe_smys_61_to_72_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3,partk6172c3
onshore_steel_pipe_smys_61_to_72_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4,partk6172c4
onshore_steel_pipe_smys_61_to_72_class_total_miles,,,,,,,,,,,,,,,,,,,,,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot,partk6172tot
onshore_steel_pipe_smys_73_to_80_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1,partk7380c1
onshore_steel_pipe_smys_73_to_80_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2,partk7380c2
onshore_steel_pipe_smys_73_to_80_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3,partk7380c3
onshore_steel_pipe_smys_73_to_80_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4,partk7380c4
onshore_steel_pipe_smys_73_to_80_class_total_miles,,,,,,,,,,,,,,,,,,,,,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot,partk7380tot
onshore_steel_pipe_smys_81_to_100_class_1_miles,,,,,,,,,,,,,,,,,,,,,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1,partk80morec1
onshore_steel_pipe_smys_81_to_100_class_2_miles,,,,,,,,,,,,,,,,,,,,,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2,partk80morec2
onshore_steel_pipe_smys_81_to_100_class_3_miles,,,,,,,,,,,,,,,,,,,,,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3,partk80morec3
onshore_steel_pipe_smys_81_to_100_class_4_miles,,,,,,,,,,,,,,,,,,,,,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4,partk80morec4
onshore_steel_pipe_smys_81_to_100_class_total_miles,,,,,,,,,,,,,,,,,,,,,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot,partk80moretot
