year_index,1970-1979,1980-1981,1982-1983,1984-1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
miles_onshore_a_gathering_pipe_nps_18,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18,PARTIONA18
miles_onshore_a_gathering_pipe_nps_20,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20,PARTIONA20
miles_onshore_a_gathering_pipe_nps_22,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22,PARTIONA22
miles_onshore_a_gathering_pipe_nps_24,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24,PARTIONA24
miles_onshore_a_gathering_pipe_nps_26,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26,PARTIONA26
miles_onshore_a_gathering_pipe_nps_28,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28,PARTIONA28
miles_onshore_a_gathering_pipe_nps_30,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30,PARTIONA30
miles_onshore_a_gathering_pipe_nps_32,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32,PARTIONA32
miles_onshore_a_gathering_pipe_nps_34,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34,PARTIONA34
miles_onshore_a_gathering_pipe_nps_36,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36,PARTIONA36
