year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate,report_state,onshore_gathering_pipe_unknown_size_miles,onshore_gathering_pipe_nps_4_or_less_miles,onshore_gathering_pipe_nps_4_to_10_miles,onshore_gathering_pipe_nps_10_to_20_miles,onshore_gathering_pipe_nps_20_to_28_miles,onshore_gathering_pipe_nps_28_and_over_miles,onshore_gathering_pipe_total_miles,onshore_type_a_gathering_pipe_nps_4_or_less_miles,onshore_type_a_gathering_pipe_nps_6_miles,onshore_type_a_gathering_pipe_nps_8_miles,onshore_type_a_gathering_pipe_nps_10_miles,onshore_type_a_gathering_pipe_nps_12_miles,onshore_type_a_gathering_pipe_nps_14_miles,onshore_type_a_gathering_pipe_nps_16_miles,onshore_type_a_gathering_pipe_nps_18_miles,onshore_type_a_gathering_pipe_nps_20_miles,onshore_type_a_gathering_pipe_nps_22_miles,onshore_type_a_gathering_pipe_nps_24_miles,onshore_type_a_gathering_pipe_nps_26_miles,onshore_type_a_gathering_pipe_nps_28_miles,onshore_type_a_gathering_pipe_nps_30_miles,onshore_type_a_gathering_pipe_nps_32_miles,onshore_type_a_gathering_pipe_nps_34_miles,onshore_type_a_gathering_pipe_nps_36_miles,onshore_type_a_gathering_pipe_nps_38_miles,onshore_type_a_gathering_pipe_nps_40_miles,onshore_type_a_gathering_pipe_nps_42_miles,onshore_type_a_gathering_pipe_nps_44_miles,onshore_type_a_gathering_pipe_nps_46_miles,onshore_type_a_gathering_pipe_nps_48_miles,onshore_type_a_gathering_pipe_nps_52_miles,onshore_type_a_gathering_pipe_nps_56_miles,onshore_type_a_gathering_pipe_nps_58_and_over_miles,onshore_type_a_gathering_pipe_other_size_total_miles,onshore_type_a_gathering_pipe_other_size_detail_miles,onshore_type_a_gathering_pipe_total_miles,onshore_type_b_gathering_pipe_nps_4_or_less_miles,onshore_type_b_gathering_pipe_nps_6_miles,onshore_type_b_gathering_pipe_nps_8_miles,onshore_type_b_gathering_pipe_nps_10_miles,onshore_type_b_gathering_pipe_nps_12_miles,onshore_type_b_gathering_pipe_nps_14_miles,onshore_type_b_gathering_pipe_nps_16_miles,onshore_type_b_gathering_pipe_nps_18_miles,onshore_type_b_gathering_pipe_nps_20_miles,onshore_type_b_gathering_pipe_nps_22_miles,onshore_type_b_gathering_pipe_nps_24_miles,onshore_type_b_gathering_pipe_nps_26_miles,onshore_type_b_gathering_pipe_nps_28_miles,onshore_type_b_gathering_pipe_nps_30_miles,onshore_type_b_gathering_pipe_nps_32_miles,onshore_type_b_gathering_pipe_nps_34_miles,onshore_type_b_gathering_pipe_nps_36_miles,onshore_type_b_gathering_pipe_nps_38_miles,onshore_type_b_gathering_pipe_nps_40_miles,onshore_type_b_gathering_pipe_nps_42_miles,onshore_type_b_gathering_pipe_nps_44_miles,onshore_type_b_gathering_pipe_nps_46_miles,onshore_type_b_gathering_pipe_nps_48_miles,onshore_type_b_gathering_pipe_nps_52_miles,onshore_type_b_gathering_pipe_nps_56_miles,onshore_type_b_gathering_pipe_nps_58_and_over_miles,onshore_type_b_gathering_pipe_other_size_total_miles,onshore_type_b_gathering_pipe_other_size_detail_miles,onshore_type_b_gathering_pipe_total_miles,onshore_type_c_gathering_pipe_nps_8_miles,onshore_type_c_gathering_pipe_nps_10_miles,onshore_type_c_gathering_pipe_nps_12_miles,onshore_type_c_gathering_pipe_nps_14_miles,onshore_type_c_gathering_pipe_nps_16_miles,onshore_type_c_gathering_pipe_nps_18_miles,onshore_type_c_gathering_pipe_nps_20_miles,onshore_type_c_gathering_pipe_nps_22_miles,onshore_type_c_gathering_pipe_nps_24_miles,onshore_type_c_gathering_pipe_nps_26_miles,onshore_type_c_gathering_pipe_nps_28_miles,onshore_type_c_gathering_pipe_nps_30_miles,onshore_type_c_gathering_pipe_nps_32_miles,onshore_type_c_gathering_pipe_nps_34_miles,onshore_type_c_gathering_pipe_nps_36_miles,onshore_type_c_gathering_pipe_nps_38_miles,onshore_type_c_gathering_pipe_nps_40_miles,onshore_type_c_gathering_pipe_nps_42_miles,onshore_type_c_gathering_pipe_nps_44_miles,onshore_type_c_gathering_pipe_nps_46_miles,onshore_type_c_gathering_pipe_nps_48_miles,onshore_type_c_gathering_pipe_nps_52_miles,onshore_type_c_gathering_pipe_nps_56_miles,onshore_type_c_gathering_pipe_nps_58_and_over_miles,onshore_type_c_gathering_pipe_other_size_miles,onshore_type_c_gathering_pipe_other_size_total_miles,onshore_type_c_gathering_pipe_other_size_detail_miles,onshore_type_c_gathering_pipe_total_miles,offshore_gathering_pipe_nps_4_or_less_miles,offshore_gathering_pipe_nps_6_miles,offshore_gathering_pipe_nps_8_miles,offshore_gathering_pipe_nps_10_miles,offshore_gathering_pipe_nps_12_miles,offshore_gathering_pipe_nps_14_miles,offshore_gathering_pipe_nps_16_miles,offshore_gathering_pipe_nps_18_miles,offshore_gathering_pipe_nps_20_miles,offshore_gathering_pipe_nps_22_miles,offshore_gathering_pipe_nps_24_miles,offshore_gathering_pipe_nps_26_miles,offshore_gathering_pipe_nps_28_miles,offshore_gathering_pipe_nps_30_miles,offshore_gathering_pipe_nps_32_miles,offshore_gathering_pipe_nps_34_miles,offshore_gathering_pipe_nps_36_miles,offshore_gathering_pipe_nps_38_miles,offshore_gathering_pipe_nps_40_miles,offshore_gathering_pipe_nps_42_miles,offshore_gathering_pipe_nps_44_miles,offshore_gathering_pipe_nps_46_miles,offshore_gathering_pipe_nps_48_miles,offshore_gathering_pipe_nps_52_miles,offshore_gathering_pipe_nps_56_miles,offshore_gathering_pipe_nps_58_and_over_miles,offshore_gathering_pipe_other_size_total_miles,offshore_gathering_pipe_other_size_detail_miles,offshore_gathering_pipe_unknown_size_miles,offshore_gathering_pipe_nps_4_to_10_miles,offshore_gathering_pipe_nps_10_to_20_miles,offshore_gathering_pipe_nps_20_to_28_miles,offshore_gathering_pipe_nps_28_and_over_miles,offshore_gathering_pipe_total_miles
2006,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2gon_1,b2gon_2,b2gon_3,b2gon_4,b2gon_5,b2gon_6,b2gon_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_1,b2goff_3,b2goff_4,b2goff_5,b2goff_6,b2goff_t
2007,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2gon_1,b2gon_2,b2gon_3,b2gon_4,b2gon_5,b2gon_6,b2gon_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_1,b2goff_3,b2goff_4,b2goff_5,b2goff_6,b2goff_t
2008,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2gon_1,b2gon_2,b2gon_3,b2gon_4,b2gon_5,b2gon_6,b2gon_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_1,b2goff_3,b2goff_4,b2goff_5,b2goff_6,b2goff_t
2009,,yr,rptid,tr_sup_id,operator_id,name,,,stop,b2gon_1,b2gon_2,b2gon_3,b2gon_4,b2gon_5,b2gon_6,b2gon_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2goff_1,b2goff_3,b2goff_4,b2goff_5,b2goff_6,b2goff_t
2010,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2011,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2012,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2013,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2014,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2015,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2016,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2017,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2018,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2019,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2020,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2021,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
2022,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,,,,,,,,partiona4less,partiona6,partiona8,partiona10,partiona12,partiona14,partiona16,partiona18,partiona20,partiona22,partiona24,partiona26,partiona28,partiona30,partiona32,partiona34,partiona36,partiona38,partiona40,partiona42,partiona44,partiona46,partiona48,partiona52,partiona56,partiona58over,partiona_other_pipe_mile_total,partiona_other_pipe_detail,partionatotal,partionb4less,partionb6,partionb8,partionb10,partionb12,partionb14,partionb16,partionb18,partionb20,partionb22,partionb24,partionb26,partionb28,partionb30,partionb32,partionb34,partionb36,partionb38,partionb40,partionb42,partionb44,partionb46,partionb48,partionb52,partionb56,partionb58over,partionb_other_pipe_mile_total,partionb_other_pipe_detail,partionbtotal,partionc8,partionc10,partionc12,partionc14,partionc16,partionc18,partionc20,partionc22,partionc24,partionc26,partionc28,partionc30,partionc32,partionc34,partionc36,partionc38,partionc40,partionc42,partionc44,partionc46,partionc48,partionc52,partionc56,partionc58,partioncadditional,partionc_other_pipe_mile_total,partionc_other_pipe_detail,partionctotal,partioff4less,partioff6,partioff8,partioff10,partioff12,partioff14,partioff16,partioff18,partioff20,partioff22,partioff24,partioff26,partioff28,partioff30,partioff32,partioff34,partioff36,partioff38,partioff40,partioff42,partioff44,partioff46,partioff48,partioff52,partioff56,partioff58over,partioff_other_pipe_mile_total,partioff_other_pipe_detail,,,,,,partiofftotal
