year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
repaired_leaks_transmission_incorrect_operations_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca
repaired_leaks_transmission_incorrect_operations_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaio,partmtlfmcaio,partmtlfmcaio,partmtlfmcaio
repaired_leaks_transmission_incorrect_operations_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,,,,
repaired_leaks_transmission_incorrect_operations_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34io,partmtlfcl34io,partmtlfcl34io,partmtlfcl34io
repaired_leaks_transmission_incorrect_operations_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12io,partmtlfcl12io,partmtlfcl12io,partmtlfcl12io
repaired_leaks_transmission_incorrect_operations_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca
repaired_leaks_transmission_incorrect_operations_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca
repaired_failures_transmission_incorrect_operations,,,,,,,,,,,,,,,,,,,,,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca
repaired_leaks_gathering_incorrect_operations_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgciona,partmgciona,partmgciona,partmgciona
repaired_leaks_gathering_incorrect_operations_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcionb,partmgcionb,partmgcionb,partmgcionb
repaired_leaks_gathering_incorrect_operations_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcionc,partmgcionc,partmgcionc,partmgcionc
repaired_leaks_gathering_incorrect_operations_offshore,,,,,,,,,,,,,,,,,,,,,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgcioff,partmgcioff,partmgcioff,partmgcioff
repaired_leaks_transmission_excavation_damage_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca
repaired_leaks_transmission_excavation_damage_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdmcaed,partmtpdmcaed,partmtpdmcaed,partmtpdmcaed
repaired_leaks_transmission_excavation_damage_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,partmtcedonnhca,,,,
repaired_leaks_transmission_excavation_damage_onshore_total,,,,,,,,,,,,cte1,cte1,cte1,cte1,cte1,cte1,cte1,cte1,cte1,,,,,,,,,,,,,,,
repaired_leaks_transmission_excavation_damage_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdcl34ed,partmtpdcl34ed,partmtpdcl34ed,partmtpdcl34ed
repaired_leaks_transmission_excavation_damage_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdcl12ed,partmtpdcl12ed,partmtpdcl12ed,partmtpdcl12ed
repaired_leaks_transmission_excavation_damage_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca,partmtcedoffhca
repaired_leaks_transmission_excavation_damage_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca,partmtcedoffnhca
repaired_leaks_transmission_excavation_damage_offshore,,,,,,,,,,,,cte2,cte2,cte2,cte2,cte2,cte2,cte2,cte2,cte2,,,,,,,,,,,,,,,
repaired_failures_transmission_excavation_damage,,,,,,,,,,,,,,,,,,,,,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca,partmtcedfhca
repaired_leaks_gathering_excavation_damage_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona,partmgcedona
repaired_leaks_gathering_excavation_damage_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb,partmgcedonb
repaired_leaks_gathering_excavation_damage_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcedonc,partmgcedonc,partmgcedonc,partmgcedonc
repaired_leaks_gathering_excavation_damage_onshore_total,,,,,,,,,,,,cge1,cge1,cge1,cge1,cge1,cge1,cge1,cge1,cge1,,,,,,,,,,,,,,,
repaired_leaks_gathering_excavation_damage_offshore_total,,,,,,,,,,,,cge2,cge2,cge2,cge2,cge2,cge2,cge2,cge2,cge2,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff,partmgcedoff
repaired_leaks_transmission_previous_damage_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca,partmtcpdonhca
repaired_leaks_transmission_previous_damage_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdmcapd,partmtpdmcapd,partmtpdmcapd,partmtpdmcapd
repaired_leaks_transmission_previous_damage_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,partmtcpdonnhca,,,,
repaired_leaks_transmission_previous_damage_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdcl34pd,partmtpdcl34pd,partmtpdcl34pd,partmtpdcl34pd
repaired_leaks_transmission_previous_damage_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdcl12pd,partmtpdcl12pd,partmtpdcl12pd,partmtpdcl12pd
repaired_leaks_transmission_previous_damage_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca,partmtcpdoffhca
repaired_leaks_transmission_previous_damage_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca,partmtcpdoffnhca
repaired_failures_transmission_previous_damage,,,,,,,,,,,,,,,,,,,,,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca,partmtcpdfhca
repaired_leaks_gathering_previous_damage_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona,partmgcpdona
repaired_leaks_gathering_previous_damage_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb,partmgcpdonb
repaired_leaks_gathering_previous_damage_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcpdonc,partmgcpdonc,partmgcpdonc,partmgcpdonc
repaired_leaks_gathering_previous_damage_offshore,,,,,,,,,,,,,,,,,,,,,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff,partmgcpdoff
repaired_leaks_transmission_vandalism_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca,partmtcvonhca
repaired_leaks_transmission_vandalism_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdmcava,partmtpdmcava,partmtpdmcava,partmtpdmcava
repaired_leaks_transmission_vandalism_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,partmtcvonnhca,,,,
repaired_leaks_transmission_vandalism_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdcl34va,partmtpdcl34va,partmtpdcl34va,partmtpdcl34va
repaired_leaks_transmission_vandalism_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtpdcl12va,partmtpdcl12va,partmtpdcl12va,partmtpdcl12va
repaired_leaks_transmission_vandalism_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca,partmtcvoffhca
repaired_leaks_transmission_vandalism_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca,partmtcvoffnhca
repaired_failures_transmission_vandalism,,,,,,,,,,,,,,,,,,,,,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca,partmtcvfhca
repaired_leaks_gathering_vandalism_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona,partmgcvona
repaired_leaks_gathering_vandalism_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb,partmgcvonb
repaired_leaks_gathering_vandalism_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcvonc,partmgcvonc,partmgcvonc,partmgcvonc
repaired_leaks_gathering_vandalism_offshore,,,,,,,,,,,,,,,,,,,,,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff,partmgcvoff
repaired_leaks_transmission_natural_force_damage_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca,partmtcnfonhca
repaired_leaks_transmission_natural_force_damage_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrmcanf,partmwrmcanf,partmwrmcanf,partmwrmcanf
repaired_leaks_transmission_natural_force_damage_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,partmtcnfonnhca,,,,
repaired_leaks_transmission_natural_force_damage_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrcl34nf,partmwrcl34nf,partmwrcl34nf,partmwrcl34nf
repaired_leaks_transmission_natural_force_damage_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrcl12nf,partmwrcl12nf,partmwrcl12nf,partmwrcl12nf
repaired_leaks_transmission_natural_force_damage_onshore_total,,,,,,,,,,,,ctnf1,ctnf1,ctnf1,ctnf1,ctnf1,ctnf1,ctnf1,ctnf1,ctnf1,,,,,,,,,,,,,,,
repaired_leaks_transmission_natural_force_damage_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca,partmtcnfoffhca
repaired_leaks_transmission_natural_force_damage_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca,partmtcnfoffnhca
repaired_leaks_transmission_natural_force_damage_offshore_total,,,,,,,,,,,,ctnf2,ctnf2,ctnf2,ctnf2,ctnf2,ctnf2,ctnf2,ctnf2,ctnf2,,,,,,,,,,,,,,,
repaired_failures_transmission_natural_force_damage,,,,,,,,,,,,,,,,,,,,,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca,partmtcnffhca
repaired_leaks_gathering_natural_force_damage_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona,partmgcnfona
repaired_leaks_gathering_natural_force_damage_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb,partmgcnfonb
repaired_leaks_gathering_natural_force_damage_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcnfonc,partmgcnfonc,partmgcnfonc,partmgcnfonc
repaired_leaks_gathering_natural_force_damage_onshore_total,,,,,,,,,,,,cgnf1,cgnf1,cgnf1,cgnf1,cgnf1,cgnf1,cgnf1,cgnf1,cgnf1,,,,,,,,,,,,,,,
repaired_leaks_gathering_natural_force_damage_offshore_total,,,,,,,,,,,,cgnf2,cgnf2,cgnf2,cgnf2,cgnf2,cgnf2,cgnf2,cgnf2,cgnf2,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff,partmgcnfoff
repaired_leaks_transmission_other_outside_force_damange_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca,partmtcoofdonhca
repaired_leaks_transmission_other_outside_force_damange_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrmcaof,partmwrmcaof,partmwrmcaof,partmwrmcaof
repaired_leaks_transmission_other_outside_force_damange_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,partmtcoofdonnhca,,,,
repaired_leaks_transmission_other_outside_force_damange_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrcl34of,partmwrcl34of,partmwrcl34of,partmwrcl34of
repaired_leaks_transmission_other_outside_force_damange_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrcl12of,partmwrcl12of,partmwrcl12of,partmwrcl12of
repaired_leaks_transmission_other_outside_force_damange_onshore_total,ctof1,ctof1,ctof1,ctof1,ctof1,ctof1,ctof1,ctof1,ctof1,ctof1,ctof1,ctoof1,ctoof1,ctoof1,ctoof1,ctoof1,ctoof1,ctoof1,ctoof1,ctoof1,,,,,,,,,,,,,,,
repaired_leaks_transmission_other_outside_force_damange_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca,partmtcoofdoffhca
repaired_leaks_transmission_other_outside_force_damange_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca,partmtcoofdoffnhca
repaired_leaks_transmission_other_outside_force_damange_offshore_total,ctof2,ctof2,ctof2,ctof2,ctof2,ctof2,ctof2,ctof2,ctof2,ctof2,ctof2,ctoof2,ctoof2,ctoof2,ctoof2,ctoof2,ctoof2,ctoof2,ctoof2,ctoof2,,,,,,,,,,,,,,,
repaired_failures_transmission_other_outside_force_damange,,,,,,,,,,,,,,,,,,,,,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca,partmtcoofdfhca
repaired_leaks_gathering_other_outside_force_damange_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona,partmgcoofdona
repaired_leaks_gathering_other_outside_force_damange_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb,partmgcoofdonb
repaired_leaks_gathering_other_outside_force_damange_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcoofdonc,partmgcoofdonc,partmgcoofdonc,partmgcoofdonc
repaired_leaks_gathering_other_outside_force_damange_onshore_total,cgof1,cgof1,cgof1,cgof1,cgof1,cgof1,cgof1,cgof1,cgof1,cgof1,cgof1,cgoof1,cgoof1,cgoof1,cgoof1,cgoof1,cgoof1,cgoof1,cgoof1,cgoof1,,,,,,,,,,,,,,,
repaired_leaks_gathering_other_outside_force_damange_offshore_total,cgof2,cgof2,cgof2,cgof2,cgof2,cgof2,cgof2,cgof2,cgof2,cgof2,cgof2,cgoof2,cgoof2,cgoof2,cgoof2,cgoof2,cgoof2,cgoof2,cgoof2,cgoof2,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff,partmgcoofdoff
repaired_leaks_transmission_other_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca,partmtcoonhca
repaired_leaks_transmission_other_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrmcaot,partmwrmcaot,partmwrmcaot,partmwrmcaot
repaired_leaks_transmission_other_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,partmtcoonnhca,,,,
repaired_leaks_transmission_other_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrcl34ot,partmwrcl34ot,partmwrcl34ot,partmwrcl34ot
repaired_leaks_transmission_other_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmwrcl12ot,partmwrcl12ot,partmwrcl12ot,partmwrcl12ot
repaired_leaks_transmission_other_onshore_total,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,cto1,,,,,,,,,,,,,,,
repaired_leaks_transmission_other_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca,partmtcooffhca
repaired_leaks_transmission_other_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca,partmtcooffnhca
repaired_leaks_transmission_other_offshore_total,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,cto2,,,,,,,,,,,,,,,
repaired_failures_transmission_other,,,,,,,,,,,,,,,,,,,,,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca,partmtcofhca
