year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
repaired_leaks_gathering_external_corrosion_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb,partmgceconb
repaired_leaks_gathering_external_corrosion_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgceconc,partmgceconc,partmgceconc,partmgceconc
repaired_leaks_gathering_external_corrosion_onshore_total,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,cgc1,,,,,,,,,,,,,,,
repaired_leaks_gathering_external_corrosion_offshore_total,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,cgc2,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff,partmgcecoff
repaired_leaks_transmission_internal_corrosion_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca,partmtciconhca
repaired_leaks_transmission_internal_corrosion_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaic,partmtlfmcaic,partmtlfmcaic,partmtlfmcaic
repaired_leaks_transmission_internal_corrosion_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,partmtciconnhca,,,,
repaired_leaks_transmission_internal_corrosion_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34ic,partmtlfcl34ic,partmtlfcl34ic,partmtlfcl34ic
repaired_leaks_transmission_internal_corrosion_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12ic,partmtlfcl12ic,partmtlfcl12ic,partmtlfcl12ic
repaired_leaks_transmission_internal_corrosion_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca,partmtcicoffhca
