year_index,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
boiler_generator_assn,0,0,0,0,0,0,0,0,0,0
utility,0,0,0,0,0,0,0,0,0,0
ownership,0,0,0,0,0,0,0,0,0,0
plant,0,0,0,0,0,0,0,0,0,0
generator_existing,0,0,0,0,0,0,0,0,0,0
generator_proposed,1,1,1,1,1,1,1,1,1,1
generator_retired,2,2,2,2,2,2,2,2,2,2
