plant_id_epa,emissions_unit_id_epa,plant_id_eia,max_gross_load_mw,min_stable_level,min_up_time_hr,min_down_time_hr,heat_rate_at_max_load_factor_mmbtu_per_mwh,heat_rate_at_min_stable_level_mmbtu_per_mwh,ramp_up_rate_fraction_of_max_gross_load_per_min,ramp_down_rate_fraction_of_max_gross_load_per_min,load_factor_bins
335,CT1,335,352.0,0.4,4.0,1.0,6.69,7.86,0.01,-0.01,"[(0.9, 1.0], (0.6, 0.7], (0.1, 0.2], NaN, (0.2, 0.3], ..., (0.8, 0.9], (0.4, 0.5], (0.3, 0.4], (0.5, 0.6], (-0.001, 0.1]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
335,CT2,335,352.0,0.4,1.0,1.0,6.67,7.82,0.01,-0.01,"[(0.7, 0.8], (0.9, 1.0], (0.8, 0.9], (0.5, 0.6], NaN, ..., (0.4, 0.5], (0.6, 0.7], (0.3, 0.4], (-0.001, 0.1], (0.1, 0.2]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
330,7,57901,280.0,0.5,1.0,1.0,7.85,8.75,0.01,-0.01,"[NaN, (0.3, 0.4], (0.5, 0.6], (0.6, 0.7], (0.1, 0.2], ..., (0.8, 0.9], (0.9, 1.0], (0.7, 0.8], (-0.001, 0.1], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
330,5,57901,285.0,0.5,1.0,1.0,7.98,8.85,0.01,-0.01,"[NaN, (0.1, 0.2], (0.4, 0.5], (0.5, 0.6], (0.3, 0.4], ..., (0.8, 0.9], (0.9, 1.0], (0.7, 0.8], (0.2, 0.3], (-0.001, 0.1]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
315,CT2,315,407.0,0.3,2.0,1.0,5.57,7.86,0.01,-0.01,"[(0.6, 0.7], (0.4, 0.5], (0.5, 0.6], (0.8, 0.9], (0.7, 0.8], ..., (0.2, 0.3], (-0.001, 0.1], (0.3, 0.4], (0.1, 0.2], (0.9, 1.0]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
315,4,315,339.0,0.2,1.0,3.0,10.02,12.69,0.0,-0.0,"[(-0.001, 0.1], NaN, (0.1, 0.2], (0.2, 0.3], (0.3, 0.4], ..., (0.4, 0.5], (0.6, 0.7], (0.8, 0.9], (0.9, 1.0], (0.7, 0.8]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
315,3,315,337.0,0.2,1.0,3.0,9.88,13.21,0.0,-0.0,"[(-0.001, 0.1], (0.1, 0.2], NaN, (0.2, 0.3], (0.3, 0.4], ..., (0.6, 0.7], (0.4, 0.5], (0.8, 0.9], (0.9, 1.0], (0.7, 0.8]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
335,2,335,238.0,0.2,1.0,1.0,9.81,10.89,0.01,-0.0,"[NaN, (-0.001, 0.1], (0.1, 0.2], (0.4, 0.5], (0.3, 0.4], ..., (0.2, 0.3], (0.6, 0.7], (0.7, 0.8], (0.9, 1.0], (0.8, 0.9]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
341,1,341,61.0,0.8,1.0,12.0,14.96,15.44,0.01,-0.01,"[NaN, (-0.001, 0.1], (0.2, 0.3], (0.3, 0.4], (0.7, 0.8], ..., (0.9, 1.0], (0.4, 0.5], (0.5, 0.6], (0.6, 0.7], (0.1, 0.2]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
341,2,341,62.0,0.7,1.0,1.0,15.19,15.89,0.01,-0.01,"[NaN, (0.1, 0.2], (0.4, 0.5], (0.7, 0.8], (0.6, 0.7], ..., (0.8, 0.9], (0.3, 0.4], (0.5, 0.6], (0.9, 1.0], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
341,3,341,64.0,0.705,1.0,3.0,16.12,17.0,0.01,-0.01,"[NaN, (0.0146, 0.114], (0.114, 0.212], (0.212, 0.311], (0.705, 0.803], ..., (0.311, 0.409], (0.508, 0.606], (0.409, 0.508], (0.902, 1.0], (0.803, 0.902]]
Length: 11
Categories (10, interval[float64, right]): [(0.0146, 0.114] < (0.114, 0.212] < (0.212, 0.311] < (0.311, 0.409] ... (0.606, 0.705] < (0.705, 0.803] < (0.803, 0.902] < (0.902, 1.0]]"
350,2,350,761.0,0.1,1.0,2.0,9.52,13.25,0.0,-0.0,"[NaN, (-0.001, 0.1], (0.1, 0.2], (0.3, 0.4], (0.5, 0.6], ..., (0.4, 0.5], (0.2, 0.3], (0.6, 0.7], (0.8, 0.9], (0.7, 0.8]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
350,1,350,758.0,0.1,1.0,1.0,9.66,15.32,0.0,-0.0,"[NaN, (-0.001, 0.1], (0.1, 0.2], (0.2, 0.3], (0.5, 0.6], ..., (0.8, 0.9], (0.6, 0.7], (0.3, 0.4], (0.9, 1.0], (0.4, 0.5]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
356,5,356,183.0,0.2,1.0,2.0,10.88,15.9,0.0,-0.0,"[(-0.001, 0.1], NaN, (0.5, 0.6], (0.1, 0.2], (0.2, 0.3], ..., (0.4, 0.5], (0.6, 0.7], (0.9, 1.0], (0.7, 0.8], (0.8, 0.9]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
341,4,341,61.0,0.705,1.0,1.0,16.7,17.59,0.01,-0.01,"[NaN, (0.115, 0.213], (0.41, 0.508], (0.803, 0.902], (0.705, 0.803], ..., (0.508, 0.607], (0.607, 0.705], (0.902, 1.0], (0.213, 0.311], (0.311, 0.41]]
Length: 11
Categories (10, interval[float64, right]): [(0.0154, 0.115] < (0.115, 0.213] < (0.213, 0.311] < (0.311, 0.41] ... (0.607, 0.705] < (0.705, 0.803] < (0.803, 0.902] < (0.902, 1.0]]"
377,5,377,25.0,0.5,1002.0,1.0,14.36,17.0,0.0,0.0,"[(-0.001, 0.1], NaN, (0.6, 0.7], (0.7, 0.8], (0.8, 0.9], (0.9, 1.0], (0.5, 0.6], (0.4, 0.5], (0.1, 0.2]]
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
