year_index,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
total_chp_cogen_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,38,38,-1,-1,-1,-1,-1,-1,-1,-1,-1
residential_chp_cogen_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,39,39,-1,-1,-1,-1,-1,-1,-1,-1,-1
commercial_chp_cogen_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,40,40,-1,-1,-1,-1,-1,-1,-1,-1,-1
industrial_chp_cogen_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,41,41,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_chp_cogen_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,42,42,-1,-1,-1,-1,-1,-1,-1,-1,-1
total_chp_cogen_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,43,43,-1,-1,-1,-1,-1,-1,-1,-1,-1
residential_chp_cogen_customers,-1,-1,-1,-1,-1,-1,-1,-1,44,44,-1,-1,-1,-1,-1,-1,-1,-1,-1
commercial_chp_cogen_customers,-1,-1,-1,-1,-1,-1,-1,-1,45,45,-1,-1,-1,-1,-1,-1,-1,-1,-1
industrial_chp_cogen_customers,-1,-1,-1,-1,-1,-1,-1,-1,46,46,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_chp_cogen_customers,-1,-1,-1,-1,-1,-1,-1,-1,47,47,-1,-1,-1,-1,-1,-1,-1,-1,-1
total_chp_cogen_customers,-1,-1,-1,-1,-1,-1,-1,-1,48,48,-1,-1,-1,-1,-1,-1,-1,-1,-1
residential_other_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,49,49,44,44,44,44,65,66,66,67,66
commercial_other_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,50,50,45,45,45,45,66,67,67,68,67
industrial_other_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,51,51,46,46,46,46,67,68,68,69,68
transportation_other_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,52,52,47,47,47,47,68,69,69,70,69
total_other_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,53,53,48,48,48,48,69,70,70,71,70
residential_other_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,54,54,34,34,34,34,55,56,56,57,56
commercial_other_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,55,55,35,35,35,35,56,57,57,58,57
industrial_other_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,56,56,36,36,36,36,57,58,58,59,58
transportation_other_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,57,57,37,37,37,37,58,59,59,60,59
total_other_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,58,58,38,38,38,38,59,60,60,61,60
residential_other_customers,-1,-1,-1,-1,-1,-1,-1,-1,59,59,39,39,39,39,60,61,61,62,61
commercial_other_customers,-1,-1,-1,-1,-1,-1,-1,-1,60,60,40,40,40,40,61,62,62,63,62
industrial_other_customers,-1,-1,-1,-1,-1,-1,-1,-1,61,61,41,41,41,41,62,63,63,64,63
transportation_other_customers,-1,-1,-1,-1,-1,-1,-1,-1,62,62,42,42,42,42,63,64,64,65,64
total_other_customers,-1,-1,-1,-1,-1,-1,-1,-1,63,63,43,43,43,43,64,65,65,66,65
residential_total_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,64,64,59,59,59,59,80,81,81,82,81
