year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
industrial_load_management_annual_actual_peak_reduction_mw,41,41,41,41,42,42,42,42,42,48,48,48
other_load_management_annual_actual_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transportation_load_management_annual_actual_peak_reduction_mw,42,42,42,42,43,43,43,43,43,49,49,49
total_load_management_annual_actual_peak_reduction_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50
total_energy_efficiency_annual_cost,43,43,43,43,44,44,44,44,44,60,60,60
total_energy_efficiency_annual_incentive_payment,45,45,45,45,46,46,46,46,46,65,65,65
total_load_management_annual_cost,44,44,44,44,45,45,45,45,45,70,70,70
total_load_management_annual_incentive_payment,46,46,46,46,47,47,47,47,47,75,75,75
total_annual_indirect_program_cost,47,47,47,47,48,48,48,48,48,80,80,80
total_annual_total_cost,48,48,48,48,49,49,49,49,49,85,85,85
demand_side_management,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reported_as_another_company,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
energy_savings_independently_verified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
energy_savings_estimates_independently_verified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
major_program_changes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
price_responsive_programs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
residential_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,50,50,50,86,86,86
commercial_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,51,51,51,87,87,87
industrial_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,52,52,52,88,88,88
transportation_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,53,53,53,89,89,89
other_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time_responsive_programs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
residential_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,54,54,54,90,90,90
commercial_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,55,55,55,91,91,91
industrial_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,56,56,56,92,92,92
transportation_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,57,57,57,93,93,93
data_status,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
residential_energy_efficiency_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,56,56
commercial_energy_efficiency_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,57,57
industrial_energy_efficiency_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,58,58
transportation_energy_efficiency_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,59,59
residential_load_management_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,66,66
commercial_load_management_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,67,67
industrial_load_management_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,68,68
transportation_load_management_annual_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,69,69
residential_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,61,61
commercial_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,62,62
