year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
report_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
short_form ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
state,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
entity_type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
nerc_region,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
summer_peak_demand_mw,3,3,3,3,3,3,3,3,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
winter_peak_demand_mw,4,4,4,4,4,4,4,4,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
net_generation_mwh,5,5,5,5,5,5,5,5,5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
wholesale_power_purchases_mwh,8,8,8,8,8,8,8,8,8,10,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
exchange_energy_received_mwh,9,9,9,9,9,9,9,9,9,11,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
exchange_energy_delivered_mwh,10,10,10,10,10,10,10,10,10,12,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12
net_power_exchanged_mwh,11,11,11,11,11,11,11,11,11,13,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
wheeled_power_received_mwh,12,12,12,12,12,12,12,12,12,14,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14
wheeled_power_delivered_mwh,13,13,13,13,13,13,13,13,13,15,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15
net_wheeled_power_mwh,14,14,14,14,14,14,14,14,14,16,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16
transmission_by_other_losses_mwh,-1,-1,-1,-1,-1,15,15,15,15,17,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17
total_sources_mwh,15,15,15,15,15,16,16,16,16,18,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
retail_sales_mwh,16,16,16,16,16,17,17,17,17,19,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19
sales_for_resale_mwh,17,17,17,17,17,18,18,18,18,20,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20
furnished_without_charge_mwh,18,18,18,18,18,19,19,19,19,22,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21
consumed_by_respondent_without_charge_mwh,19,19,19,19,19,20,20,20,20,23,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
consumed_by_facility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,22,22,22,22,22,22,22,22,-1,-1,-1,-1,-1,-1,-1,-1
total_energy_losses_mwh,20,20,20,20,20,21,21,21,21,24,21,22,22,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,23
total_disposition_mwh,21,21,21,21,21,22,22,22,22,25,22,23,23,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,24
retail_sales_revenue,22,22,22,22,22,23,23,23,23,26,23,24,24,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,25
unbundled_revenue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delivery_customers_revenue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,25,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26
sales_for_resale_revenue,23,23,23,23,23,24,24,24,24,27,24,26,26,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27
credits_or_adjustments_revenue,25,25,25,25,25,26,26,26,26,28,25,27,27,28,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,28
transmission_revenue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29
other_revenue,24,24,24,24,24,25,25,25,25,29,26,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30
total_revenue,26,26,26,26,26,27,27,27,27,30,27,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31
data_observed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32
