,plant_id_eia,plant_name_eia,utility_id_eia,utility_name_eia,state,capacity_mw
321,61749,tom bevill lock and dam hydroelectric,,,AL,24.0
322,61750,wistaria ranch solar,56769,consolidated edison development inc.,CA,213.4
323,61751,rotor clip,,,NJ,5.6
324,61752,quincy ii solar garden,,,CO,3.0
325,61753,imboden solar garden,,,CO,6.0
326,61754,sunselect1,,,CA,12.6
327,61755,"east acres solar ng, llc",59254,nugen capital management,MA,11.6
328,61756,meadow lake wind farm vi llc,,,IN,400.8
329,61758,gaston county renewable energy center,,,NC,8.4
330,61759,covington solar farm,14063,oklahoma gas & electric co,OK,20.0
331,61760,c4gt,,,VA,2120.0
332,61761,douglas county forest products,,,OR,12.6
333,61762,none,,,MN,10.0
334,61763,sunshine gateway solar energy center,6452,florida power & light co,FL,149.0
335,61764,gore mountain solar ii,,,NY,4.0
336,61765,hgs solar i,,,NY,4.0
337,61766,miami dade solar energy center,6452,florida power & light co,FL,149.0
338,61767,pioneer trail solar energy center,6452,florida power & light co,FL,149.0
339,61768,interstate solar energy center,6452,florida power & light co,FL,149.0
340,61769,syncarpha hancock i csg,,,MA,4.0
341,61770,syncarpha hancock ii csg,,,MA,4.0
342,61771,syncarpha hancock iii csg,,,MA,2.0
343,61773,"palmas wind, llc",55918,acciona wind energy usa llc,TX,289.8
344,61774,none,,,MA,4.0
345,61775,town of otis wind energy project,,,MA,3.0
346,61776,"midway wind, llc",,,TX,325.70000000000005
347,61777,brevard,,,FL,19.2
348,61778,north 301 solar,,,NC,46.9
349,61779,hernando,,,FL,3.2
350,61780,seminole energy,,,FL,12.799999999999999
351,61781,edenton solar,,,NC,10.0
352,61782,live oak wind project,56201,engie north america,TX,399.0
353,61783,new mexico community solar facility,5701,el paso electric co,NM,4.0
354,61784,upstream wind energy llc,49893,invenergy services llc,NE,405.0
355,61785,camilla solar energy project,49893,invenergy services llc,GA,320.0
356,61786,trinity college fuel cell,,,CT,2.8
357,61787,bishop hill iii,49893,invenergy services llc,IL,251.0
358,61788,hilltop power,,,MN,4.0
359,61789,"diamond vista wind project, llc",,,KS,598.6
360,61790,"shaw creek solar, llc",56622,nextera energy resources,SC,149.8
361,61791,stage gulch solar,,,CA,2.0
362,61792,lavio solar,,,CA,2.0
363,61793,heyer csg,,,MN,2.0
364,61794,gateway solar,,,MD,15.2
365,61795,pacific union college bess,,,CA,2.0
366,61796,legore bridge solar center,,,MD,40.0
367,61797,mason dixon solar center,,,MD,40.0
368,61798,prairie sky solar farm,9961,kansas electric power coop inc,KS,2.0
369,61799,rensselaer solar site 2,9234,indiana municipal power agency,IN,8.0
370,61800,dg amp solar smyrna,,,DE,2.4
371,61801,"cascade energy storage, llc",59380,"enel green power na, inc.",CA,50.0
372,61802,"kingston energy storage, llc",59380,"enel green power na, inc.",CA,100.0
373,61803,"sierra energy storage, llc",59380,"enel green power na, inc.",CA,20.0
374,61804,city of rochester solar,,,NY,3.6
375,61805,dg amp solar piqua staunton,,,OH,3.6
376,61807,hamilton solar power plant,6455,"duke energy florida, inc",FL,149.8
377,61809,"egp stillwater solar pv ii, llc",,,NV,40.0
