RUSBorrowerId,rusborrowerid,rusborrowerid,,r_u_s_borrower_id,borrower_id_rus
BorrowerName,borrowername,borrowername,,borrower_name,borrower_name_rus
Year,year,year,,year,report_year
Period,period,period,,period,report_month
PlantName,plantname,plantname,,plant_name,plant_name_rus
PrimeMoverId,primemoverid,primemoverid,,prime_mover_id,prime_mover_id_rus
PrimeMoverName,primemovername,primemovername,,prime_mover_name,prime_mover_name_rus
PrimaryRenewableFuelTypeId,primaryrenewablefueltypeid,primaryrenewablefueltypeid,,primary_renewable_fuel_type_id,primary_renewable_fuel_type_id_rus
PrimaryRenewableFuelTypeName,primaryrenewablefueltypename,primaryrenewablefueltypename,,primary_renewable_fuel_type_name,primary_renewable_fuel_type_name_rus
RenewableFuelPercentage,renewablefuelpercentage,renewablefuelpercentage,,renewable_fuel_percentage,renewable_fuel_pct
Capacity,capacity,capacity,,capacity,capacity_kw
NetGeneration,netgeneration,netgeneration,,net_generation,net_generation_mwh
CapacityFactor,capacityfactor,capacityfactor,,capacity_factor,capacity_factor_pct
NumberofEmployees,numberofemployees,numberofemployees,,numberof_employees,employees_num
TotalOMCost,totalomcost,totalomcost,,total_o_m_cost,total_o_and_m_cost_mils_per_net_kwh
PowerCost,powercost,powercost,,power_cost,power_cost_mils_per_net_kwh
TotalInvestment,totalinvestment,totalinvestment,,total_investment,total_investment_thousand_dollars
PercentageOwnership,percentageownership,percentageownership,,percentage_ownership,ownership_pct
RUSFunding,rusfunding,rusfunding,,r_u_s_funding,rus_funding_thousand_dollars
Comment,comment,comment,,comment,comments
CreatedDate,createddate,createddate,,created_date,date_created
