year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,loan_organization,loan_maturity_date,loan_original_amount,loan_balance,for_rural_development
2006,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2007,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2008,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2009,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2010,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2011,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2012,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2013,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2014,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2015,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2016,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2017,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2018,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2019,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2020,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
2021,rusborrowerid,borrowername,year,period,organization,maturitydate,originalamount,loanbalance,ruraldevelopment
