year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,unit_id_rus,is_full_ownership_portion,is_partly_owned_by_borrower,borrower_ownership_pct,times_started,capacity_kw,gross_generation_mwh,operating_hours_in_service,operating_hours_on_standby,operating_hours_out_of_service_scheduled,operating_hours_out_of_service_unscheduled
2006,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,,,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2007,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,,,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2008,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,,,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2009,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2010,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2011,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2012,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2013,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2014,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2015,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2016,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2017,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2018,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2019,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2020,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
2021,rusborrowerid,borrowername,year,period,plantname,unitnumber,fullownershipscope,borrowershared,borrowerpercentage,timesstarted,size,grossgeneration,operatinghoursinservice,operatinghoursonstandby,operatinghoursoutofservicescheduled,operatinghoursoutofserviceunscheduled
