year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,non_utility_plant_additions,non_utility_plant_retirements,non_utility_plant_adjustments_and_transfers,non_utility_plant_ending_balance,provision_for_depreciation_and_amortization_of_non_utility_plant_additions,provision_for_depreciation_and_amortization_of_non_utility_plant_retirements,provision_for_depreciation_and_amortization_of_non_utility_plant_adjustments,provision_for_depreciation_and_amortization_of_non_utility_plant_ending_balance
2006,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2007,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2008,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2009,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2010,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2011,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2012,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2013,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2014,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2015,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2016,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2017,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2018,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2019,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2020,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
2021,rusborrowerid,borrowername,year,period,nonutilityadditions,nonutilityretirements,nonutilityadjustments,nonutilitybalanceendofyear,provisionadditions,provisionretirements,provisionadjustments,provisionbalanceendofyear
