year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,plant_type,employees_fte_num,employees_pte_num,employee_hours_worked_total,payroll_operations,payroll_maintenance,payroll_other_accounts,payroll_total
2006,rusborrowerid,borrowername,year,period,plantname,,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2007,rusborrowerid,borrowername,year,period,plantname,,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2008,rusborrowerid,borrowername,year,period,plantname,,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2009,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2010,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2011,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2012,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2013,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2014,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2015,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2016,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2017,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2018,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2019,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2020,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
2021,rusborrowerid,borrowername,year,period,plantname,planttype,numberemployeesfulltime,numberemployeesparttime,totalemployeehoursworked,operplantpayroll,maintplantpayroll,otheracctsplantpayroll,totalplantpayroll
