year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,depr_steam_prod_plant_comp_rate,depr_steam_prod_plant_annual_accruals,depr_steam_prod_plant_retirements_less_net_salvage,depr_steam_prod_plant_adjustments_and_transfers,depr_steam_prod_plant_balance_end_of_year,depr_nuclear_prod_plant_comp_rate,depr_nuclear_prod_plant_annual_accruals,depr_nuclear_prod_plant_retirements_less_net_salvage,depr_nuclear_prod_plant_adjustments_and_transfers,depr_nuclear_prod_plant_balance_end_of_year,depr_hydraulic_prod_plant_comp_rate,depr_hydraulic_prod_plant_annual_accruals,depr_hydraulic_prod_plant_retirements_less_net_salvage,depr_hydraulic_prod_plant_adjustments_and_transfers,depr_hydraulic_prod_plant_balance_end_of_year,depr_other_prod_plant_comp_rate,depr_other_prod_plant_annual_accruals,depr_other_prod_plant_retirements_less_net_salvage,depr_other_prod_plant_adjustments_and_transfers,depr_other_prod_plant_balance_end_of_year,depr_transmission_plant_comp_rate,depr_transmission_plant_annual_accruals,depr_transmission_plant_retirements_less_net_salvage,depr_transmission_plant_adjustments_and_transfers,depr_transmission_plant_balance_end_of_year,depr_distribution_plant_comp_rate,depr_distribution_plant_annual_accruals,depr_distribution_plant_retirements_less_net_salvage,depr_distribution_plant_adjustments_and_transfers,depr_distribution_plant_balance_end_of_year,depr_general_plant_annual_accruals,depr_general_plant_retirements_less_net_salvage,depr_general_plant_adjustments_and_transfers,depr_general_plant_balance_end_of_year,retirement_work_in_progress_annual_accruals,retirement_work_in_progress_retirements_less_net_salvage,retirement_work_in_progress_adjustments_and_transfers,retirement_work_in_progress_balance_end_of_year,total_depr_elec_plant_in_serv_adjustments_and_transfers,total_depr_elec_plant_in_serv_balance_end_of_year,depr_plant_leased_to_others_comp_rate,depr_plant_leased_to_others_annual_accruals,depr_plant_leased_to_others_retirements_less_net_salvage,depr_plant_leased_to_others_adjustments_and_transfers,depr_plant_leased_to_others_balance_end_of_year,depr_plant_held_for_future_use_comp_rate,depr_plant_held_for_future_use_annual_accruals,depr_plant_held_for_future_use_retirements_less_net_salvage,depr_plant_held_for_future_use_adjustments_and_transfers,depr_plant_held_for_future_use_balance_end_of_year,amort_elec_plant_in_service_comp_rate,amort_elec_plant_in_service_annual_accruals,amort_elec_plant_in_service_retirements_less_net_salvage,amort_elec_plant_in_service_adjustments_and_transfers,amort_elec_plant_in_service_balance_end_of_year,amort_leased_plant_comp_rate,amort_leased_plant_annual_accruals,amort_leased_plant_retirements_less_net_salvage,amort_leased_plant_adjustments_and_transfers,amort_leased_plant_balance_end_of_year,amort_plant_held_for_future_use_comp_rate,amort_plant_held_for_future_use_annual_accruals,amort_plant_held_for_future_use_retirements_less_net_salvage,amort_plant_held_for_future_use_adjustments_and_transfers,amort_plant_held_for_future_use_balance_end_of_year,amort_acquisition_adj_comp_rate,amort_acquisition_adj_annual_accruals,amort_acquisition_adj_retirements_less_net_salvage,amort_acquisition_adj_adjustments_and_transfers,amort_acquisition_adj_balance_end_of_year,depr_and_amort_other_plant_comp_rate,depr_and_amort_other_plant_annual_accruals,depr_and_amort_other_plant_retirements_less_net_salvage,depr_and_amort_other_plant_adjustments_and_transfers,depr_and_amort_other_plant_balance_end_of_year,amort_nuclear_fuel_comp_rate,amort_nuclear_fuel_annual_accruals,amort_nuclear_fuel_retirements_less_net_salvage,amort_nuclear_fuel_adjustments_and_transfers,amort_nuclear_fuel_balance_end_of_year,total_prov_for_depr_and_amort_annual_accruals,total_prov_for_depr_and_amort_retirements_less_net_salvage,total_prov_for_depr_and_amort_adjustments_and_transfers,total_prov_for_depr_and_amort_balance_end_of_year,annual_accrual_charged_to_expense_balance_end_of_year,annual_accrual_charged_to_other_accounts_balance_end_of_year,book_cost_property_retired_balance_end_of_year,removal_cost_property_retired_balance_end_of_year,salvage_material_from_property_retired_balance_end_of_year,renewal_and_replacement_cost_balance_end_of_year
2006,rusborrowerid,borrowername,year,period,deprofsteamprodplantcomprate,deprofsteamprodplantannualaccruals,deprofsteamprodplantretirementslessnetsalvage,deprofsteamprodplantadjustmentsandtransfers,deprofsteamprodplantbalanceendofyear,deprofnuclearprodplantcomprate,deprofnuclearprodplantannualaccruals,deprofnuclearprodplantretirementslessnetsalvage,deprofnuclearprodplantadjustmentsandtransfers,deprofnuclearprodplantbalanceendofyear,deprofhydraulicprodplantcomprate,deprofhydraulicprodplantannualaccruals,deprofhydraulicprodplantretirementslessnetsalvage,deprofhydraulicprodplantadjustmentsandtransfers,deprofhydraulicprodplantbalanceendofyear,deprofotherprodplantcomprate,deprofotherprodplantannualaccruals,deprofotherprodplantretirementslessnetsalvage,deprofotherprodplantadjustmentsandtransfers,deprofotherprodplantbalanceendofyear,deproftransmissionplantcomprate,deproftransmissionplantannualaccruals,deproftransmissionplantretirementslessnetsalvage,deproftransmissionplantadjustmentsandtransfers,deproftransmissionplantbalanceendofyear,deprofdistributionplantcomprate,deprofdistributionplantannualaccruals,deprofdistributionplantretirementslessnetsalvage,deprofdistributionplantadjustmentsandtransfers,deprofdistributionplantbalanceendofyear,deprofgeneralplantannualaccruals,deprofgeneralplantretirementslessnetsalvage,deprofgeneralplantadjustmentsandtransfers,deprofgeneralplantbalanceendofyear,retirementworkinprogressannualaccruals,retirementworkinprogressretirementslessnetsalvage,retirementworkinprogressadjustmentsandtransfers,retirementworkinprogressbalanceendofyear,totaldeprforelecplantinservadjustmentsandtransfers,totaldeprforelecplantinservbalanceendofyear,deprofplantleasedtootherscomprate,deprofplantleasedtoothersannualaccruals,deprofplantleasedtoothersretirementslessnetsalvage,deprofplantleasedtoothersadjustmentsandtransfers,deprofplantleasedtoothersbalanceendofyear,deprofplantheldforfutureusecomprate,deprofplantheldforfutureuseannualaccruals,deprofplantheldforfutureuseretirementslessnetsalvage,deprofplantheldforfutureuseadjustmentsandtransfers,deprofplantheldforfutureusebalanceendofyear,amortofelecplantinservicecomprate,amortofelecplantinserviceannualaccruals,amortofelecplantinserviceretirementslessnetsalvage,amortofelecplantinserviceadjustmentsandtransfers,amortofelecplantinservicebalanceendofyear,amortofleasedplantcomprate,amortofleasedplantannualaccruals,amortofleasedplantretirementslessnetsalvage,amortofleasedplantadjustmentsandtransfers,amortofleasedplantbalanceendofyear,amortofplantheldforfutureusecomprate,amortofplantheldforfutureuseannualaccruals,amortofplantheldforfutureuseretirementslessnetsalvage,amortofplantheldforfutureuseadjustmentsandtransfers,amortofplantheldforfutureusebalanceendofyear,amortofacquisitionadjcomprate,amortofacquisitionadjannualaccruals,amortofacquisitionadjretirementslessnetsalvage,amortofacquisitionadjadjustmentsandtransfers,amortofacquisitionadjbalanceendofyear,deprandamortotherplantcomprate,deprandamortotherplantannualaccruals,deprandamortotherplantretirementslessnetsalvage,deprandamortotherplantadjustmentsandtransfers,deprandamortotherplantbalanceendofyear,amortofnuclearfuelcomprate,amortofnuclearfuelannualaccruals,amortofnuclearfuelretirementslessnetsalvage,amortofnuclearfueladjustmentsandtransfers,amortofnuclearfuelbalanceendofyear,totalprovfordeprandamortannualaccruals,totalprovfordeprandamortretirementslessnetsalvage,totalprovfordeprandamortadjustmentsandtransfers,totalprovfordeprandamortbalanceendofyear,amountofannualaccrualchargedtoexpensebalanceendofyear,amountofannualaccrualchargedtootheraccountsbalanceendofyear,bookcostofpropertyretiredbalanceendofyear,removalcostofpropertyretiredbalanceendofyear,salvagematerialfrompropertyretiredbalanceendofyear,renewalandreplacementcostbalanceendofyear
2007,rusborrowerid,borrowername,year,period,deprofsteamprodplantcomprate,deprofsteamprodplantannualaccruals,deprofsteamprodplantretirementslessnetsalvage,deprofsteamprodplantadjustmentsandtransfers,deprofsteamprodplantbalanceendofyear,deprofnuclearprodplantcomprate,deprofnuclearprodplantannualaccruals,deprofnuclearprodplantretirementslessnetsalvage,deprofnuclearprodplantadjustmentsandtransfers,deprofnuclearprodplantbalanceendofyear,deprofhydraulicprodplantcomprate,deprofhydraulicprodplantannualaccruals,deprofhydraulicprodplantretirementslessnetsalvage,deprofhydraulicprodplantadjustmentsandtransfers,deprofhydraulicprodplantbalanceendofyear,deprofotherprodplantcomprate,deprofotherprodplantannualaccruals,deprofotherprodplantretirementslessnetsalvage,deprofotherprodplantadjustmentsandtransfers,deprofotherprodplantbalanceendofyear,deproftransmissionplantcomprate,deproftransmissionplantannualaccruals,deproftransmissionplantretirementslessnetsalvage,deproftransmissionplantadjustmentsandtransfers,deproftransmissionplantbalanceendofyear,deprofdistributionplantcomprate,deprofdistributionplantannualaccruals,deprofdistributionplantretirementslessnetsalvage,deprofdistributionplantadjustmentsandtransfers,deprofdistributionplantbalanceendofyear,deprofgeneralplantannualaccruals,deprofgeneralplantretirementslessnetsalvage,deprofgeneralplantadjustmentsandtransfers,deprofgeneralplantbalanceendofyear,retirementworkinprogressannualaccruals,retirementworkinprogressretirementslessnetsalvage,retirementworkinprogressadjustmentsandtransfers,retirementworkinprogressbalanceendofyear,totaldeprforelecplantinservadjustmentsandtransfers,totaldeprforelecplantinservbalanceendofyear,deprofplantleasedtootherscomprate,deprofplantleasedtoothersannualaccruals,deprofplantleasedtoothersretirementslessnetsalvage,deprofplantleasedtoothersadjustmentsandtransfers,deprofplantleasedtoothersbalanceendofyear,deprofplantheldforfutureusecomprate,deprofplantheldforfutureuseannualaccruals,deprofplantheldforfutureuseretirementslessnetsalvage,deprofplantheldforfutureuseadjustmentsandtransfers,deprofplantheldforfutureusebalanceendofyear,amortofelecplantinservicecomprate,amortofelecplantinserviceannualaccruals,amortofelecplantinserviceretirementslessnetsalvage,amortofelecplantinserviceadjustmentsandtransfers,amortofelecplantinservicebalanceendofyear,amortofleasedplantcomprate,amortofleasedplantannualaccruals,amortofleasedplantretirementslessnetsalvage,amortofleasedplantadjustmentsandtransfers,amortofleasedplantbalanceendofyear,amortofplantheldforfutureusecomprate,amortofplantheldforfutureuseannualaccruals,amortofplantheldforfutureuseretirementslessnetsalvage,amortofplantheldforfutureuseadjustmentsandtransfers,amortofplantheldforfutureusebalanceendofyear,amortofacquisitionadjcomprate,amortofacquisitionadjannualaccruals,amortofacquisitionadjretirementslessnetsalvage,amortofacquisitionadjadjustmentsandtransfers,amortofacquisitionadjbalanceendofyear,deprandamortotherplantcomprate,deprandamortotherplantannualaccruals,deprandamortotherplantretirementslessnetsalvage,deprandamortotherplantadjustmentsandtransfers,deprandamortotherplantbalanceendofyear,amortofnuclearfuelcomprate,amortofnuclearfuelannualaccruals,amortofnuclearfuelretirementslessnetsalvage,amortofnuclearfueladjustmentsandtransfers,amortofnuclearfuelbalanceendofyear,totalprovfordeprandamortannualaccruals,totalprovfordeprandamortretirementslessnetsalvage,totalprovfordeprandamortadjustmentsandtransfers,totalprovfordeprandamortbalanceendofyear,amountofannualaccrualchargedtoexpensebalanceendofyear,amountofannualaccrualchargedtootheraccountsbalanceendofyear,bookcostofpropertyretiredbalanceendofyear,removalcostofpropertyretiredbalanceendofyear,salvagematerialfrompropertyretiredbalanceendofyear,renewalandreplacementcostbalanceendofyear
2008,rusborrowerid,borrowername,year,period,deprofsteamprodplantcomprate,deprofsteamprodplantannualaccruals,deprofsteamprodplantretirementslessnetsalvage,deprofsteamprodplantadjustmentsandtransfers,deprofsteamprodplantbalanceendofyear,deprofnuclearprodplantcomprate,deprofnuclearprodplantannualaccruals,deprofnuclearprodplantretirementslessnetsalvage,deprofnuclearprodplantadjustmentsandtransfers,deprofnuclearprodplantbalanceendofyear,deprofhydraulicprodplantcomprate,deprofhydraulicprodplantannualaccruals,deprofhydraulicprodplantretirementslessnetsalvage,deprofhydraulicprodplantadjustmentsandtransfers,deprofhydraulicprodplantbalanceendofyear,deprofotherprodplantcomprate,deprofotherprodplantannualaccruals,deprofotherprodplantretirementslessnetsalvage,deprofotherprodplantadjustmentsandtransfers,deprofotherprodplantbalanceendofyear,deproftransmissionplantcomprate,deproftransmissionplantannualaccruals,deproftransmissionplantretirementslessnetsalvage,deproftransmissionplantadjustmentsandtransfers,deproftransmissionplantbalanceendofyear,deprofdistributionplantcomprate,deprofdistributionplantannualaccruals,deprofdistributionplantretirementslessnetsalvage,deprofdistributionplantadjustmentsandtransfers,deprofdistributionplantbalanceendofyear,deprofgeneralplantannualaccruals,deprofgeneralplantretirementslessnetsalvage,deprofgeneralplantadjustmentsandtransfers,deprofgeneralplantbalanceendofyear,retirementworkinprogressannualaccruals,retirementworkinprogressretirementslessnetsalvage,retirementworkinprogressadjustmentsandtransfers,retirementworkinprogressbalanceendofyear,totaldeprforelecplantinservadjustmentsandtransfers,totaldeprforelecplantinservbalanceendofyear,deprofplantleasedtootherscomprate,deprofplantleasedtoothersannualaccruals,deprofplantleasedtoothersretirementslessnetsalvage,deprofplantleasedtoothersadjustmentsandtransfers,deprofplantleasedtoothersbalanceendofyear,deprofplantheldforfutureusecomprate,deprofplantheldforfutureuseannualaccruals,deprofplantheldforfutureuseretirementslessnetsalvage,deprofplantheldforfutureuseadjustmentsandtransfers,deprofplantheldforfutureusebalanceendofyear,amortofelecplantinservicecomprate,amortofelecplantinserviceannualaccruals,amortofelecplantinserviceretirementslessnetsalvage,amortofelecplantinserviceadjustmentsandtransfers,amortofelecplantinservicebalanceendofyear,amortofleasedplantcomprate,amortofleasedplantannualaccruals,amortofleasedplantretirementslessnetsalvage,amortofleasedplantadjustmentsandtransfers,amortofleasedplantbalanceendofyear,amortofplantheldforfutureusecomprate,amortofplantheldforfutureuseannualaccruals,amortofplantheldforfutureuseretirementslessnetsalvage,amortofplantheldforfutureuseadjustmentsandtransfers,amortofplantheldforfutureusebalanceendofyear,amortofacquisitionadjcomprate,amortofacquisitionadjannualaccruals,amortofacquisitionadjretirementslessnetsalvage,amortofacquisitionadjadjustmentsandtransfers,amortofacquisitionadjbalanceendofyear,deprandamortotherplantcomprate,deprandamortotherplantannualaccruals,deprandamortotherplantretirementslessnetsalvage,deprandamortotherplantadjustmentsandtransfers,deprandamortotherplantbalanceendofyear,amortofnuclearfuelcomprate,amortofnuclearfuelannualaccruals,amortofnuclearfuelretirementslessnetsalvage,amortofnuclearfueladjustmentsandtransfers,amortofnuclearfuelbalanceendofyear,totalprovfordeprandamortannualaccruals,totalprovfordeprandamortretirementslessnetsalvage,totalprovfordeprandamortadjustmentsandtransfers,totalprovfordeprandamortbalanceendofyear,amountofannualaccrualchargedtoexpensebalanceendofyear,amountofannualaccrualchargedtootheraccountsbalanceendofyear,bookcostofpropertyretiredbalanceendofyear,removalcostofpropertyretiredbalanceendofyear,salvagematerialfrompropertyretiredbalanceendofyear,renewalandreplacementcostbalanceendofyear
2009,rusborrowerid,borrowername,year,period,deprofsteamprodplantcomprate,deprofsteamprodplantannualaccruals,deprofsteamprodplantretirementslessnetsalvage,deprofsteamprodplantadjustmentsandtransfers,deprofsteamprodplantbalanceendofyear,deprofnuclearprodplantcomprate,deprofnuclearprodplantannualaccruals,deprofnuclearprodplantretirementslessnetsalvage,deprofnuclearprodplantadjustmentsandtransfers,deprofnuclearprodplantbalanceendofyear,deprofhydraulicprodplantcomprate,deprofhydraulicprodplantannualaccruals,deprofhydraulicprodplantretirementslessnetsalvage,deprofhydraulicprodplantadjustmentsandtransfers,deprofhydraulicprodplantbalanceendofyear,deprofotherprodplantcomprate,deprofotherprodplantannualaccruals,deprofotherprodplantretirementslessnetsalvage,deprofotherprodplantadjustmentsandtransfers,deprofotherprodplantbalanceendofyear,deproftransmissionplantcomprate,deproftransmissionplantannualaccruals,deproftransmissionplantretirementslessnetsalvage,deproftransmissionplantadjustmentsandtransfers,deproftransmissionplantbalanceendofyear,deprofdistributionplantcomprate,deprofdistributionplantannualaccruals,deprofdistributionplantretirementslessnetsalvage,deprofdistributionplantadjustmentsandtransfers,deprofdistributionplantbalanceendofyear,deprofgeneralplantannualaccruals,deprofgeneralplantretirementslessnetsalvage,deprofgeneralplantadjustmentsandtransfers,deprofgeneralplantbalanceendofyear,retirementworkinprogressannualaccruals,retirementworkinprogressretirementslessnetsalvage,retirementworkinprogressadjustmentsandtransfers,retirementworkinprogressbalanceendofyear,totaldeprforelecplantinservadjustmentsandtransfers,totaldeprforelecplantinservbalanceendofyear,deprofplantleasedtootherscomprate,deprofplantleasedtoothersannualaccruals,deprofplantleasedtoothersretirementslessnetsalvage,deprofplantleasedtoothersadjustmentsandtransfers,deprofplantleasedtoothersbalanceendofyear,deprofplantheldforfutureusecomprate,deprofplantheldforfutureuseannualaccruals,deprofplantheldforfutureuseretirementslessnetsalvage,deprofplantheldforfutureuseadjustmentsandtransfers,deprofplantheldforfutureusebalanceendofyear,amortofelecplantinservicecomprate,amortofelecplantinserviceannualaccruals,amortofelecplantinserviceretirementslessnetsalvage,amortofelecplantinserviceadjustmentsandtransfers,amortofelecplantinservicebalanceendofyear,amortofleasedplantcomprate,amortofleasedplantannualaccruals,amortofleasedplantretirementslessnetsalvage,amortofleasedplantadjustmentsandtransfers,amortofleasedplantbalanceendofyear,amortofplantheldforfutureusecomprate,amortofplantheldforfutureuseannualaccruals,amortofplantheldforfutureuseretirementslessnetsalvage,amortofplantheldforfutureuseadjustmentsandtransfers,amortofplantheldforfutureusebalanceendofyear,amortofacquisitionadjcomprate,amortofacquisitionadjannualaccruals,amortofacquisitionadjretirementslessnetsalvage,amortofacquisitionadjadjustmentsandtransfers,amortofacquisitionadjbalanceendofyear,deprandamortotherplantcomprate,deprandamortotherplantannualaccruals,deprandamortotherplantretirementslessnetsalvage,deprandamortotherplantadjustmentsandtransfers,deprandamortotherplantbalanceendofyear,amortofnuclearfuelcomprate,amortofnuclearfuelannualaccruals,amortofnuclearfuelretirementslessnetsalvage,amortofnuclearfueladjustmentsandtransfers,amortofnuclearfuelbalanceendofyear,totalprovfordeprandamortannualaccruals,totalprovfordeprandamortretirementslessnetsalvage,totalprovfordeprandamortadjustmentsandtransfers,totalprovfordeprandamortbalanceendofyear,amountofannualaccrualchargedtoexpensebalanceendofyear,amountofannualaccrualchargedtootheraccountsbalanceendofyear,bookcostofpropertyretiredbalanceendofyear,removalcostofpropertyretiredbalanceendofyear,salvagematerialfrompropertyretiredbalanceendofyear,renewalandreplacementcostbalanceendofyear
2010,rusborrowerid,borrowername,year,period,deprofsteamprodplantcomprate,deprofsteamprodplantannualaccruals,deprofsteamprodplantretirementslessnetsalvage,deprofsteamprodplantadjustmentsandtransfers,deprofsteamprodplantbalanceendofyear,deprofnuclearprodplantcomprate,deprofnuclearprodplantannualaccruals,deprofnuclearprodplantretirementslessnetsalvage,deprofnuclearprodplantadjustmentsandtransfers,deprofnuclearprodplantbalanceendofyear,deprofhydraulicprodplantcomprate,deprofhydraulicprodplantannualaccruals,deprofhydraulicprodplantretirementslessnetsalvage,deprofhydraulicprodplantadjustmentsandtransfers,deprofhydraulicprodplantbalanceendofyear,deprofotherprodplantcomprate,deprofotherprodplantannualaccruals,deprofotherprodplantretirementslessnetsalvage,deprofotherprodplantadjustmentsandtransfers,deprofotherprodplantbalanceendofyear,deproftransmissionplantcomprate,deproftransmissionplantannualaccruals,deproftransmissionplantretirementslessnetsalvage,deproftransmissionplantadjustmentsandtransfers,deproftransmissionplantbalanceendofyear,deprofdistributionplantcomprate,deprofdistributionplantannualaccruals,deprofdistributionplantretirementslessnetsalvage,deprofdistributionplantadjustmentsandtransfers,deprofdistributionplantbalanceendofyear,deprofgeneralplantannualaccruals,deprofgeneralplantretirementslessnetsalvage,deprofgeneralplantadjustmentsandtransfers,deprofgeneralplantbalanceendofyear,retirementworkinprogressannualaccruals,retirementworkinprogressretirementslessnetsalvage,retirementworkinprogressadjustmentsandtransfers,retirementworkinprogressbalanceendofyear,totaldeprforelecplantinservadjustmentsandtransfers,totaldeprforelecplantinservbalanceendofyear,deprofplantleasedtootherscomprate,deprofplantleasedtoothersannualaccruals,deprofplantleasedtoothersretirementslessnetsalvage,deprofplantleasedtoothersadjustmentsandtransfers,deprofplantleasedtoothersbalanceendofyear,deprofplantheldforfutureusecomprate,deprofplantheldforfutureuseannualaccruals,deprofplantheldforfutureuseretirementslessnetsalvage,deprofplantheldforfutureuseadjustmentsandtransfers,deprofplantheldforfutureusebalanceendofyear,amortofelecplantinservicecomprate,amortofelecplantinserviceannualaccruals,amortofelecplantinserviceretirementslessnetsalvage,amortofelecplantinserviceadjustmentsandtransfers,amortofelecplantinservicebalanceendofyear,amortofleasedplantcomprate,amortofleasedplantannualaccruals,amortofleasedplantretirementslessnetsalvage,amortofleasedplantadjustmentsandtransfers,amortofleasedplantbalanceendofyear,amortofplantheldforfutureusecomprate,amortofplantheldforfutureuseannualaccruals,amortofplantheldforfutureuseretirementslessnetsalvage,amortofplantheldforfutureuseadjustmentsandtransfers,amortofplantheldforfutureusebalanceendofyear,amortofacquisitionadjcomprate,amortofacquisitionadjannualaccruals,amortofacquisitionadjretirementslessnetsalvage,amortofacquisitionadjadjustmentsandtransfers,amortofacquisitionadjbalanceendofyear,deprandamortotherplantcomprate,deprandamortotherplantannualaccruals,deprandamortotherplantretirementslessnetsalvage,deprandamortotherplantadjustmentsandtransfers,deprandamortotherplantbalanceendofyear,amortofnuclearfuelcomprate,amortofnuclearfuelannualaccruals,amortofnuclearfuelretirementslessnetsalvage,amortofnuclearfueladjustmentsandtransfers,amortofnuclearfuelbalanceendofyear,totalprovfordeprandamortannualaccruals,totalprovfordeprandamortretirementslessnetsalvage,totalprovfordeprandamortadjustmentsandtransfers,totalprovfordeprandamortbalanceendofyear,amountofannualaccrualchargedtoexpensebalanceendofyear,amountofannualaccrualchargedtootheraccountsbalanceendofyear,bookcostofpropertyretiredbalanceendofyear,removalcostofpropertyretiredbalanceendofyear,salvagematerialfrompropertyretiredbalanceendofyear,renewalandreplacementcostbalanceendofyear
2011,rusborrowerid,borrowername,year,period,deprofsteamprodplantcomprate,deprofsteamprodplantannualaccruals,deprofsteamprodplantretirementslessnetsalvage,deprofsteamprodplantadjustmentsandtransfers,deprofsteamprodplantbalanceendofyear,deprofnuclearprodplantcomprate,deprofnuclearprodplantannualaccruals,deprofnuclearprodplantretirementslessnetsalvage,deprofnuclearprodplantadjustmentsandtransfers,deprofnuclearprodplantbalanceendofyear,deprofhydraulicprodplantcomprate,deprofhydraulicprodplantannualaccruals,deprofhydraulicprodplantretirementslessnetsalvage,deprofhydraulicprodplantadjustmentsandtransfers,deprofhydraulicprodplantbalanceendofyear,deprofotherprodplantcomprate,deprofotherprodplantannualaccruals,deprofotherprodplantretirementslessnetsalvage,deprofotherprodplantadjustmentsandtransfers,deprofotherprodplantbalanceendofyear,deproftransmissionplantcomprate,deproftransmissionplantannualaccruals,deproftransmissionplantretirementslessnetsalvage,deproftransmissionplantadjustmentsandtransfers,deproftransmissionplantbalanceendofyear,deprofdistributionplantcomprate,deprofdistributionplantannualaccruals,deprofdistributionplantretirementslessnetsalvage,deprofdistributionplantadjustmentsandtransfers,deprofdistributionplantbalanceendofyear,deprofgeneralplantannualaccruals,deprofgeneralplantretirementslessnetsalvage,deprofgeneralplantadjustmentsandtransfers,deprofgeneralplantbalanceendofyear,retirementworkinprogressannualaccruals,retirementworkinprogressretirementslessnetsalvage,retirementworkinprogressadjustmentsandtransfers,retirementworkinprogressbalanceendofyear,totaldeprforelecplantinservadjustmentsandtransfers,totaldeprforelecplantinservbalanceendofyear,deprofplantleasedtootherscomprate,deprofplantleasedtoothersannualaccruals,deprofplantleasedtoothersretirementslessnetsalvage,deprofplantleasedtoothersadjustmentsandtransfers,deprofplantleasedtoothersbalanceendofyear,deprofplantheldforfutureusecomprate,deprofplantheldforfutureuseannualaccruals,deprofplantheldforfutureuseretirementslessnetsalvage,deprofplantheldforfutureuseadjustmentsandtransfers,deprofplantheldforfutureusebalanceendofyear,amortofelecplantinservicecomprate,amortofelecplantinserviceannualaccruals,amortofelecplantinserviceretirementslessnetsalvage,amortofelecplantinserviceadjustmentsandtransfers,amortofelecplantinservicebalanceendofyear,amortofleasedplantcomprate,amortofleasedplantannualaccruals,amortofleasedplantretirementslessnetsalvage,amortofleasedplantadjustmentsandtransfers,amortofleasedplantbalanceendofyear,amortofplantheldforfutureusecomprate,amortofplantheldforfutureuseannualaccruals,amortofplantheldforfutureuseretirementslessnetsalvage,amortofplantheldforfutureuseadjustmentsandtransfers,amortofplantheldforfutureusebalanceendofyear,amortofacquisitionadjcomprate,amortofacquisitionadjannualaccruals,amortofacquisitionadjretirementslessnetsalvage,amortofacquisitionadjadjustmentsandtransfers,amortofacquisitionadjbalanceendofyear,deprandamortotherplantcomprate,deprandamortotherplantannualaccruals,deprandamortotherplantretirementslessnetsalvage,deprandamortotherplantadjustmentsandtransfers,deprandamortotherplantbalanceendofyear,amortofnuclearfuelcomprate,amortofnuclearfuelannualaccruals,amortofnuclearfuelretirementslessnetsalvage,amortofnuclearfueladjustmentsandtransfers,amortofnuclearfuelbalanceendofyear,totalprovfordeprandamortannualaccruals,totalprovfordeprandamortretirementslessnetsalvage,totalprovfordeprandamortadjustmentsandtransfers,totalprovfordeprandamortbalanceendofyear,amountofannualaccrualchargedtoexpensebalanceendofyear,amountofannualaccrualchargedtootheraccountsbalanceendofyear,bookcostofpropertyretiredbalanceendofyear,removalcostofpropertyretiredbalanceendofyear,salvagematerialfrompropertyretiredbalanceendofyear,renewalandreplacementcostbalanceendofyear
