year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,delivered_to_rus_borrowers_demand_mw_jan,delivered_to_rus_borrowers_energy_mwh_jan,delivered_to_others_demand_mw_jan,delivered_to_others_energy_mwh_jan,delivered_total_demand_mw_jan,delivered_total_energy_mwh_jan,delivered_to_rus_borrowers_demand_mw_feb,delivered_to_rus_borrowers_energy_mwh_feb,delivered_to_others_demand_mw_feb,delivered_to_others_energy_mwh_feb,delivered_total_demand_mw_feb,delivered_total_energy_mwh_feb,delivered_to_rus_borrowers_demand_mw_mar,delivered_to_rus_borrowers_energy_mwh_mar,delivered_to_others_demand_mw_mar,delivered_to_others_energy_mwh_mar,delivered_total_demand_mw_mar,delivered_total_energy_mwh_mar,delivered_to_rus_borrowers_demand_mw_apr,delivered_to_rus_borrowers_energy_mwh_apr,delivered_to_others_demand_mw_apr,delivered_to_others_energy_mwh_apr,delivered_total_demand_mw_apr,delivered_total_energy_mwh_apr,delivered_to_rus_borrowers_demand_mw_may,delivered_to_rus_borrowers_energy_mwh_may,delivered_to_others_demand_mw_may,delivered_to_others_energy_mwh_may,delivered_total_demand_mw_may,delivered_total_energy_mwh_may,delivered_to_rus_borrowers_demand_mw_jun,delivered_to_rus_borrowers_energy_mwh_jun,delivered_to_others_demand_mw_jun,delivered_to_others_energy_mwh_jun,delivered_total_demand_mw_jun,delivered_total_energy_mwh_jun,delivered_to_rus_borrowers_demand_mw_jul,delivered_to_rus_borrowers_energy_mwh_jul,delivered_to_others_demand_mw_jul,delivered_to_others_energy_mwh_jul,delivered_total_demand_mw_jul,delivered_total_energy_mwh_jul,delivered_to_rus_borrowers_demand_mw_aug,delivered_to_rus_borrowers_energy_mwh_aug,delivered_to_others_demand_mw_aug,delivered_to_others_energy_mwh_aug,delivered_total_demand_mw_aug,delivered_total_energy_mwh_aug,delivered_to_rus_borrowers_demand_mw_sep,delivered_to_rus_borrowers_energy_mwh_sep,delivered_to_others_demand_mw_sep,delivered_to_others_energy_mwh_sep,delivered_total_demand_mw_sep,delivered_total_energy_mwh_sep,delivered_to_rus_borrowers_demand_mw_oct,delivered_to_rus_borrowers_energy_mwh_oct,delivered_to_others_demand_mw_oct,delivered_to_others_energy_mwh_oct,delivered_total_demand_mw_oct,delivered_total_energy_mwh_oct,delivered_to_rus_borrowers_demand_mw_nov,delivered_to_rus_borrowers_energy_mwh_nov,delivered_to_others_demand_mw_nov,delivered_to_others_energy_mwh_nov,delivered_total_demand_mw_nov,delivered_total_energy_mwh_nov,delivered_to_rus_borrowers_demand_mw_dec,delivered_to_rus_borrowers_energy_mwh_dec,delivered_to_others_demand_mw_dec,delivered_to_others_energy_mwh_dec,delivered_total_demand_mw_dec,delivered_total_energy_mwh_dec,delivered_to_rus_borrowers_demand_mw_peak,delivered_to_rus_borrowers_energy_mwh_total,delivered_to_others_demand_mw_peak,delivered_to_others_energy_mwh_total,delivered_total_demand_mw_peak,delivered_total_energy_mwh_total
2006,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2007,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2008,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2009,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2010,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2011,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2012,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2013,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2014,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
2015,rusborrowerid,borrowername,year,period,jandemandrusborrowers,janenergyrusborrowers,jandemandother,janenergyother,jantotaldemand,jantotalenergy,febdemandrusborrowers,febenergyrusborrowers,febdemandother,febenergyother,febtotaldemand,febtotalenergy,mardemandrusborrowers,marenergyrusborrowers,mardemandother,marenergyother,martotaldemand,martotalenergy,aprdemandrusborrowers,aprenergyrusborrowers,aprdemandother,aprenergyother,aprtotaldemand,aprtotalenergy,maydemandrusborrowers,mayenergyrusborrowers,maydemandother,mayenergyother,maytotaldemand,maytotalenergy,jundemandrusborrowers,junenergyrusborrowers,jundemandother,junenergyother,juntotaldemand,juntotalenergy,juldemandrusborrowers,julenergyrusborrowers,juldemandother,julenergyother,jultotaldemand,jultotalenergy,augdemandrusborrowers,augenergyrusborrowers,augdemandother,augenergyother,augtotaldemand,augtotalenergy,sepdemandrusborrowers,sepenergyrusborrowers,sepdemandother,sepenergyother,septotaldemand,septotalenergy,octdemandrusborrowers,octenergyrusborrowers,octdemandother,octenergyother,octtotaldemand,octtotalenergy,novdemandrusborrowers,novenergyrusborrowers,novdemandother,novenergyother,novtotaldemand,novtotalenergy,decdemandrusborrowers,decenergyrusborrowers,decdemandother,decenergyother,dectotaldemand,dectotalenergy,peakdemandrusborrowers,totalenergyrusborrowers,peakdemandother,totalenergyother,peaktotaldemand,totaltotalenergy
