dbf_table,xbrl_table
f1_nbr_elc_deptemp,
f1_note_fin_stmnt,notes_to_financial_statements_122
f1_nonutility_prop,
f1_nuclear_fuel,nuclear_fuel_materials_202
f1_officers_co,officers_104
f1_othr_dfrrd_cr,other_deferred_credits_account_253_269
f1_othr_pd_in_cptl,
f1_othr_reg_assets,
f1_othr_reg_liab,other_regulatory_liabilities_account_254_278
f1_overhead,
f1_pccidica,
f1_plant,electric_plant_held_for_future_use_214
f1_plant_in_srvce,electric_plant_in_service_204
f1_privilege,
f1_pumped_storage,pumped_storage_generating_plant_statistics_large_plants_408
f1_purchased_pwr,purchased_power_326
f1_r_d_demo_actvty,research_development_and_demonstration_activities_352
f1_reconrpt_netinc,reconciliation_of_reported_net_income_with_taxable_income_for_federal_income_taxes_261
f1_reconrpt_netinc,reconciliation_of_reported_net_income_with_taxable_income_for_federal_income_taxes_deductions_on_return_not_charged_against_book_income_261
f1_reconrpt_netinc,reconciliation_of_reported_net_income_with_taxable_income_for_federal_income_taxes_deductions_recorded_on_books_not_deducted_for_return_261
f1_reconrpt_netinc,reconciliation_of_reported_net_income_with_taxable_income_for_federal_income_taxes_income_recorded_on_books_not_included_in_return_261
f1_reconrpt_netinc,reconciliation_of_reported_net_income_with_taxable_income_for_federal_income_taxes_show_computation_of_tax_261
f1_reconrpt_netinc,reconciliation_of_reported_net_income_with_taxable_income_for_federal_income_taxes_taxable_income_not_reported_on_books_261
f1_reg_comm_expn,regulatory_commission_expenses_350
f1_reg_comm_expn,regulatory_commission_expenses_total_350
f1_respdnt_control,corporations_controlled_by_respondent_103
f1_respondent_id,
f1_retained_erng,retained_earnings_118
f1_retained_erng,retained_earnings_appropriated_118
f1_retained_erng,retained_earnings_appropriations_118
f1_retained_erng,retained_earnings_common_stock_118
f1_retained_erng,retained_earnings_credit_118
f1_retained_erng,retained_earnings_debit_118
f1_retained_erng,retained_earnings_preferred_stock_118
f1_retained_erng,retained_earnings_unappropriated_undistributed_subsidiary_earnings_118
f1_rg_trn_srv_rev,
f1_row_lit_tbl,
