table_name,xbrl_factoid,xbrl_factoid_calculation_component,weight,table_name_calculation_component,utility_type,plant_function,plant_status
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,abandonment_of_leases,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,1.0,utility_plant_summary_ferc1,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,amortization_and_depletion_of_producing_natural_gas_land_and_land_rights_utility_plant_in_service,1.0,utility_plant_summary_ferc1,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,amortization_and_depletion_of_producing_natural_gas_land_and_land_rightsutility_plant_in_service,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,amortization_of_other_utility_plant_utility_plant_in_service,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,amortization_of_plant_acquisition_adjustment,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,amortization_of_underground_storage_land_and_land_rights_utility_plant_in_service,1.0,utility_plant_summary_ferc1,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,amortization_of_underground_storage_land_and_land_rightsutility_plant_in_service,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,depreciation_amortization_and_depletion_utility_plant_in_service,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,depreciation_amortization_and_depletion_utility_plant_leased_to_others,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,depreciation_and_amortization_utility_plant_held_for_future_use,,,,,
balance_sheet_assets_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,depreciation_utility_plant_in_service,,,,,
balance_sheet_assets_ferc1,construction_work_in_progress,construction_work_in_progress,1.0,utility_plant_summary_ferc1,,,
balance_sheet_assets_ferc1,current_and_accrued_assets,derivative_instrument_assets_hedges_long_term,,,,,
balance_sheet_assets_ferc1,current_and_accrued_assets,derivative_instrument_assets_long_term,,,,,
balance_sheet_assets_ferc1,current_and_accrued_assets,less_derivative_instrument_assets_hedges_long_term,-1.0,balance_sheet_assets_ferc1,,,
balance_sheet_assets_ferc1,current_and_accrued_assets,less_derivative_instrument_assets_long_term,-1.0,balance_sheet_assets_ferc1,,,
balance_sheet_assets_ferc1,current_and_accrued_assets,less_noncurrent_portion_of_allowances,-1.0,balance_sheet_assets_ferc1,,,
balance_sheet_assets_ferc1,current_and_accrued_assets,noncurrent_portion_of_allowances,,,,,
balance_sheet_assets_ferc1,nuclear_fuel_net,nuclear_fuel,1.0,balance_sheet_assets_ferc1,,,
balance_sheet_assets_ferc1,nuclear_fuel_net,nuclear_fuel_materials_and_assemblies,,,,,
balance_sheet_assets_ferc1,nuclear_fuel_net,spent_nuclear_fuel,,,,,
balance_sheet_assets_ferc1,other_property_and_investments,special_funds_all,1.0,balance_sheet_assets_ferc1,,,
balance_sheet_assets_ferc1,utility_plant_and_construction_work_in_progress,construction_work_in_progress,,,,,
balance_sheet_assets_ferc1,utility_plant_and_construction_work_in_progress,utility_plant,,,,,
balance_sheet_assets_ferc1,utility_plant_and_construction_work_in_progress,utility_plant_acquisition_adjustment,,,,,
balance_sheet_assets_ferc1,utility_plant_and_construction_work_in_progress,utility_plant_and_construction_work_in_progress,1.0,utility_plant_summary_ferc1,total,,
balance_sheet_assets_ferc1,utility_plant_and_construction_work_in_progress,utility_plant_held_for_future_use,,,,,
balance_sheet_assets_ferc1,utility_plant_and_construction_work_in_progress,utility_plant_in_service_classified_and_unclassified,,,,,
balance_sheet_assets_ferc1,utility_plant_and_construction_work_in_progress,utility_plant_leased_to_others,,,,,
balance_sheet_assets_ferc1,utility_plant_net,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,,,,,
balance_sheet_assets_ferc1,utility_plant_net,utility_plant_and_construction_work_in_progress,,,,,
balance_sheet_assets_ferc1,utility_plant_net,utility_plant_net,1.0,utility_plant_summary_ferc1,total,,
balance_sheet_liabilities_ferc1,deferred_credits,accumulated_deferred_income_taxes,1.0,balance_sheet_liabilities_ferc1,,,
balance_sheet_liabilities_ferc1,retained_earnings,retained_earnings,1.0,retained_earnings_ferc1,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,electric_expenses_hydraulic_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,hydraulic_expenses,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,maintenance_of_electric_plant_hydraulic_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,maintenance_of_miscellaneous_hydraulic_plant,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,maintenance_of_reservoirs_dams_and_waterways,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,maintenance_of_structures_hydraulic_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,maintenance_supervision_and_engineering_hydraulic_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,miscellaneous_hydraulic_power_generation_expenses,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,operation_supervision_and_engineering,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,operation_supervision_and_engineering_expense,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,operation_supervision_and_engineering_hydraulic_power_generation,1.0,electric_operating_expenses_ferc1,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,rents_hydraulic_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_hydraulic_power,water_for_power,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,allowances,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,coolants_and_water,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,electric_expenses_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,fuel_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,maintenance_of_boiler_plant_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,maintenance_of_electric_plant_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,maintenance_of_miscellaneous_steam_plant,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,maintenance_of_structures_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,maintenance_supervision_and_engineering_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,miscellaneous_steam_power_expenses,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,operation_supervision_and_engineering,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,operation_supervision_and_engineering_expense,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,operation_supervision_and_engineering_steam_power_generation,1.0,electric_operating_expenses_ferc1,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,rents_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,steam_expenses_steam_power_generation,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,steam_from_other_sources,,,,,
electric_operating_expenses_ferc1,power_production_expenses_steam_power,steam_transferred_credit,,,,,
electric_operating_expenses_ferc1,transmission_operation_expense,load_dispatching_transmission_expense,1.0,electric_operating_expenses_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,forfeited_discounts,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,interdepartmental_rents,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,miscellaneous_revenue,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,miscellaneous_service_revenues,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,other_electric_revenue,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,other_miscellaneous_operating_revenues,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,regional_transmission_service_revenues,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,rent_from_electric_property,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,revenues_from_transmission_of_electricity_of_others,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,other_operating_revenues,sales_of_water_and_water_power,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,sales_to_ultimate_consumers,commercial_and_industrial_sales,,,,,
electric_operating_revenues_ferc1,sales_to_ultimate_consumers,large_or_industrial,1.0,electric_operating_revenues_ferc1,,,
electric_operating_revenues_ferc1,sales_to_ultimate_consumers,small_or_commercial,1.0,electric_operating_revenues_ferc1,,,
electric_plant_depreciation_changes_ferc1,ending_balance,book_cost_of_asset_retirement_costs,1.0,electric_plant_depreciation_changes_ferc1,,,
electric_plant_depreciation_changes_ferc1,ending_balance,depreciation_provision,1.0,electric_plant_depreciation_changes_ferc1,,,
electric_plant_depreciation_changes_ferc1,ending_balance,net_charges_for_retired_plant,1.0,electric_plant_depreciation_changes_ferc1,,,
electric_plant_depreciation_changes_ferc1,ending_balance,other_adjustments_to_accumulated_depreciation,1.0,electric_plant_depreciation_changes_ferc1,,,
electric_plant_depreciation_changes_ferc1,ending_balance,starting_balance,1.0,electric_plant_depreciation_changes_ferc1,,,
