table_name,xbrl_factoid,utility_type,plant_status,plant_function,rate_base_category
balance_sheet_assets_ferc1,unamortized_loss_on_reacquired_debt,,,,other_deferred_debits_and_credits
balance_sheet_assets_ferc1,accumulated_deferred_income_taxes,,,,other_deferred_debits_and_credits
balance_sheet_assets_ferc1,unrecovered_purchased_gas_costs,,,,other_deferred_debits_and_credits
balance_sheet_assets_ferc1,nuclear_fuel,,,,net_nuclear_fuel
balance_sheet_assets_ferc1,special_funds_all,,,,other_electric_plant
plant_in_service_ferc1,organization,,,,intangible_plant
plant_in_service_ferc1,franchises_and_consents,,,,intangible_plant
plant_in_service_ferc1,miscellaneous_intangible_plant,,,,intangible_plant
plant_in_service_ferc1,land_and_land_rights_steam_production,,,,steam
plant_in_service_ferc1,structures_and_improvements_steam_production,,,,steam
plant_in_service_ferc1,boiler_plant_equipment_steam_production,,,,steam
plant_in_service_ferc1,engines_and_engine_driven_generators_steam_production,,,,steam
plant_in_service_ferc1,turbogenerator_units_steam_production,,,,steam
plant_in_service_ferc1,accessory_electric_equipment_steam_production,,,,steam
plant_in_service_ferc1,miscellaneous_power_plant_equipment_steam_production,,,,steam
plant_in_service_ferc1,asset_retirement_costs_for_steam_production_plant_steam_production,,,,steam
plant_in_service_ferc1,land_and_land_rights_nuclear_production,,,,nuclear
plant_in_service_ferc1,structures_and_improvements_nuclear_production,,,,nuclear
plant_in_service_ferc1,reactor_plant_equipment_nuclear_production,,,,nuclear
plant_in_service_ferc1,turbogenerator_units_nuclear_production,,,,nuclear
plant_in_service_ferc1,accessory_electric_equipment_nuclear_production,,,,nuclear
plant_in_service_ferc1,miscellaneous_power_plant_equipment_nuclear_production,,,,nuclear
plant_in_service_ferc1,asset_retirement_costs_for_nuclear_production_plant_nuclear_production,,,,nuclear
plant_in_service_ferc1,land_and_land_rights_hydraulic_production,,,,hydro
plant_in_service_ferc1,structures_and_improvements_hydraulic_production,,,,hydro
plant_in_service_ferc1,reservoirs_dams_and_waterways_hydraulic_production,,,,hydro
plant_in_service_ferc1,water_wheels_turbines_and_generators_hydraulic_production,,,,hydro
plant_in_service_ferc1,accessory_electric_equipment_hydraulic_production,,,,hydro
plant_in_service_ferc1,miscellaneous_power_plant_equipment_hydraulic_production,,,,hydro
plant_in_service_ferc1,roads_railroads_and_bridges_hydraulic_production,,,,hydro
plant_in_service_ferc1,asset_retirement_costs_for_hydraulic_production_plant_hydraulic_production,,,,hydro
plant_in_service_ferc1,land_and_land_rights_other_production,,,,other_production
plant_in_service_ferc1,structures_and_improvements_other_production,,,,other_production
plant_in_service_ferc1,fuel_holders_products_and_accessories_other_production,,,,other_production
plant_in_service_ferc1,prime_movers_other_production,,,,other_production
plant_in_service_ferc1,generators_other_production,,,,other_production
plant_in_service_ferc1,energy_storage_equipment_other_production,,,,other_production
plant_in_service_ferc1,accessory_electric_equipment_other_production,,,,other_production
plant_in_service_ferc1,miscellaneous_power_plant_equipment_other_production,,,,other_production
plant_in_service_ferc1,asset_retirement_costs_for_other_production_plant_other_production,,,,other_production
plant_in_service_ferc1,land_and_land_rights_transmission_plant,,,,transmission
plant_in_service_ferc1,structures_and_improvements_transmission_plant,,,,transmission
plant_in_service_ferc1,station_equipment_transmission_plant,,,,transmission
plant_in_service_ferc1,towers_and_fixtures_transmission_plant,,,,transmission
plant_in_service_ferc1,poles_and_fixtures_transmission_plant,,,,transmission
plant_in_service_ferc1,overhead_conductors_and_devices_transmission_plant,,,,transmission
plant_in_service_ferc1,underground_conduit_transmission_plant,,,,transmission
plant_in_service_ferc1,underground_conductors_and_devices_transmission_plant,,,,transmission
plant_in_service_ferc1,roads_and_trails_transmission_plant,,,,transmission
plant_in_service_ferc1,energy_storage_equipment_transmission_plant,,,,transmission
plant_in_service_ferc1,asset_retirement_costs_for_transmission_plant_transmission_plant,,,,transmission
plant_in_service_ferc1,land_and_land_rights_distribution_plant,,,,distribution
plant_in_service_ferc1,structures_and_improvements_distribution_plant,,,,distribution
plant_in_service_ferc1,station_equipment_distribution_plant,,,,distribution
plant_in_service_ferc1,energy_storage_equipment_distribution_plant,,,,distribution
plant_in_service_ferc1,poles_towers_and_fixtures_distribution_plant,,,,distribution
plant_in_service_ferc1,overhead_conductors_and_devices_distribution_plant,,,,distribution
plant_in_service_ferc1,underground_conduit_distribution_plant,,,,distribution
plant_in_service_ferc1,underground_conductors_and_devices_distribution_plant,,,,distribution
plant_in_service_ferc1,line_transformers_distribution_plant,,,,distribution
plant_in_service_ferc1,services_distribution_plant,,,,distribution
plant_in_service_ferc1,meters_distribution_plant,,,,distribution
plant_in_service_ferc1,installations_on_customer_premises_distribution_plant,,,,distribution
plant_in_service_ferc1,leased_property_on_customer_premises_distribution_plant,,,,distribution
plant_in_service_ferc1,street_lighting_and_signal_systems_distribution_plant,,,,distribution
plant_in_service_ferc1,asset_retirement_costs_for_distribution_plant_distribution_plant,,,,distribution
plant_in_service_ferc1,land_and_land_rights_regional_transmission_and_market_operation_plant,,,,regional_transmission_and_market_operation
plant_in_service_ferc1,structures_and_improvements_regional_transmission_and_market_operation_plant,,,,regional_transmission_and_market_operation
plant_in_service_ferc1,computer_hardware_regional_transmission_and_market_operation_plant,,,,regional_transmission_and_market_operation
plant_in_service_ferc1,computer_software_regional_transmission_and_market_operation_plant,,,,regional_transmission_and_market_operation
plant_in_service_ferc1,communication_equipment_regional_transmission_and_market_operation_plant,,,,regional_transmission_and_market_operation
plant_in_service_ferc1,miscellaneous_regional_transmission_and_market_operation_plant_regional_transmission_and_market_operation_plant,,,,regional_transmission_and_market_operation
plant_in_service_ferc1,asset_retirement_costs_for_regional_transmission_and_market_operation_plant_regional_transmission_and_market_operation_plant,,,,regional_transmission_and_market_operation
plant_in_service_ferc1,land_and_land_rights_general_plant,,,,general_plant
plant_in_service_ferc1,structures_and_improvements_general_plant,,,,general_plant
plant_in_service_ferc1,office_furniture_and_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,transportation_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,stores_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,tools_shop_and_garage_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,laboratory_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,power_operated_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,communication_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,miscellaneous_equipment_general_plant,,,,general_plant
plant_in_service_ferc1,other_tangible_property_general_plant,,,,general_plant
plant_in_service_ferc1,asset_retirement_costs_for_general_plant_general_plant,,,,general_plant
utility_plant_summary_ferc1,abandonment_of_leases,,,,electric_plant_leased_to_others
utility_plant_summary_ferc1,amortization_and_depletion_utility_plant_leased_to_others,,,,electric_plant_leased_to_others
utility_plant_summary_ferc1,amortization_of_other_utility_plant_utility_plant_in_service,,,,other_electric_plant
utility_plant_summary_ferc1,amortization_of_plant_acquisition_adjustment,,,,other_electric_plant
utility_plant_summary_ferc1,amortization_utility_plant_held_for_future_use,,,,electric_plant_held_for_future_use
utility_plant_summary_ferc1,construction_work_in_progress,,,,construction_work_in_progress
utility_plant_summary_ferc1,depreciation_amortization_and_depletion_utility_plant_leased_to_others,,,,electric_plant_leased_to_others
utility_plant_summary_ferc1,depreciation_and_amortization_utility_plant_held_for_future_use,,,,electric_plant_held_for_future_use
utility_plant_summary_ferc1,depreciation_utility_plant_held_for_future_use,,,,electric_plant_held_for_future_use
utility_plant_summary_ferc1,depreciation_utility_plant_leased_to_others,,,,electric_plant_leased_to_others
utility_plant_summary_ferc1,depreciation_utility_plant_in_service,,,,net_utility_plant
utility_plant_summary_ferc1,utility_plant_acquisition_adjustment,,,,other_electric_plant
utility_plant_summary_ferc1,utility_plant_held_for_future_use,,,,electric_plant_held_for_future_use
utility_plant_summary_ferc1,utility_plant_in_service_completed_construction_not_classified,,,,other_electric_plant
utility_plant_summary_ferc1,utility_plant_in_service_experimental_plant_unclassified,,,,experimental_plant
utility_plant_summary_ferc1,utility_plant_in_service_plant_purchased_or_sold,,,,other_electric_plant
utility_plant_summary_ferc1,utility_plant_leased_to_others,,,,electric_plant_leased_to_others
balance_sheet_liabilities_ferc1,obligations_under_capital_lease_noncurrent,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,accumulated_provision_for_property_insurance,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,accumulated_provision_for_injuries_and_damages,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,accumulated_provision_for_pensions_and_benefits,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,accumulated_miscellaneous_operating_provisions,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,accumulated_provision_for_rate_refunds,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,long_term_portion_of_derivative_instrument_liabilities,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,long_term_portion_of_derivative_instrument_liabilities_hedges,,,,other_noncurrent_liabilities
balance_sheet_liabilities_ferc1,asset_retirement_obligations,,,,AROs
balance_sheet_liabilities_ferc1,notes_payable,,,,net_working_capital
balance_sheet_liabilities_ferc1,accounts_payable,,,,net_working_capital
balance_sheet_liabilities_ferc1,notes_payable_to_associated_companies,,,,net_working_capital
balance_sheet_liabilities_ferc1,accounts_payable_to_associated_companies,,,,net_working_capital
balance_sheet_liabilities_ferc1,customer_deposits,,,,net_working_capital
balance_sheet_liabilities_ferc1,taxes_accrued,,,,net_working_capital
balance_sheet_liabilities_ferc1,interest_accrued,,,,net_working_capital
balance_sheet_liabilities_ferc1,dividends_declared,,,,net_working_capital
balance_sheet_liabilities_ferc1,matured_long_term_debt,,,,net_working_capital
balance_sheet_liabilities_ferc1,matured_interest,,,,net_working_capital
balance_sheet_liabilities_ferc1,tax_collections_payable,,,,net_working_capital
balance_sheet_liabilities_ferc1,miscellaneous_current_and_accrued_liabilities,,,,net_working_capital
balance_sheet_liabilities_ferc1,obligations_under_capital_leases_current,,,,net_working_capital
balance_sheet_liabilities_ferc1,derivatives_instrument_liabilities,,,,net_working_capital
balance_sheet_liabilities_ferc1,less_long_term_portion_of_derivative_instrument_liabilities,,,,net_working_capital
balance_sheet_liabilities_ferc1,derivative_instrument_liabilities_hedges,,,,net_working_capital
balance_sheet_liabilities_ferc1,less_long_term_portion_of_derivative_instrument_liabilities_hedges,,,,net_working_capital
balance_sheet_liabilities_ferc1,customer_advances_for_construction,,,,other_deferred_debits_and_credits
balance_sheet_liabilities_ferc1,accumulated_deferred_investment_tax_credits,,,,other_deferred_debits_and_credits
balance_sheet_liabilities_ferc1,deferred_gains_from_disposition_of_utility_plant,,,,other_deferred_debits_and_credits
balance_sheet_liabilities_ferc1,other_deferred_credits,,,,other_deferred_debits_and_credits
balance_sheet_liabilities_ferc1,other_regulatory_liabilities,,,,net_regulatory_assets
balance_sheet_liabilities_ferc1,unamortized_gain_on_reacquired_debt,,,,other_deferred_debits_and_credits
