table,filename
f2_001_ident_attsttn,F2_001_IDENT_ATTSTTN.DBF
f2_002_list_schedules,F2_002_LIST_SCHEDULES.DBF
f2_002_list_schedules_a,F2_002_LIST_SCHEDULES_A.DBF
f2_101_general_info,F2_101_GENERAL_INFO.DBF
f2_102_ctrl_over_resp,F2_102_CTRL_OVER_RESP.DBF
f2_103_co_ctrl_by_resp,F2_103_CO_CTRL_BY_RESP.DBF
f2_107_security_holder,F2_107_SECURITY_HOLDER.DBF
f2_107_security_holder_a,F2_107_SECURITY_HOLDER_A.DBF
f2_108_important_changes,F2_108_IMPORTANT_CHANGES.DBF
f2_110_comp_bal_debit,F2_110_COMP_BAL_DEBIT.DBF
f2_112_comp_bal_credit,F2_112_COMP_BAL_CREDIT.DBF
f2_114_stmt_income,F2_114_STMT_INCOME.DBF
f2_117_cmpinc_hedge,F2_117_CMPINC_HEDGE.DBF
f2_117_cmpinc_hedge_a,F2_117_CMPINC_HEDGE_A.DBF
f2_118_stmnt_ret_earn,F2_118_STMNT_RET_EARN.DBF
f2_120_stmnt_cash_flow,F2_120_STMNT_CASH_FLOW.DBF
f2_122_note_fin_stmnt,F2_122_NOTE_FIN_STMNT.DBF
f2_200_sum_util_plant,F2_200_SUM_UTIL_PLANT.DBF
f2_204_gas_plant_in_srv,F2_204_GAS_PLANT_IN_SRV.DBF
f2_210_plant_in_svc,F2_210_PLANT_IN_SVC.DBF
f2_212_prop_cap_lease_from,F2_212_PROP_CAP_LEASE_FROM.DBF
f2_213_prop_cap_lease_to,F2_213_PROP_CAP_LEASE_TO.DBF
f2_214_gas_held_future,F2_214_GAS_HELD_FUTURE.DBF
f2_216_const_work_gas,F2_216_CONST_WORK_GAS.DBF
f2_217_nontradrate_newproj,F2_217_NONTRADRATE_NEWPROJ.DBF
f2_218_oh_formula_cmpnts,F2_218_OH_FORMULA_CMPNTS.DBF
f2_218_oh_general,F2_218_OH_GENERAL.DBF
f2_218_oh_rates,F2_218_OH_RATES.DBF
f2_219_depr_util_plant,F2_219_DEPR_UTIL_PLANT.DBF
f2_220_gas_stored,F2_220_GAS_STORED.DBF
f2_222_investments,F2_222_INVESTMENTS.DBF
f2_224_123_1_total,F2_224_123_1_TOTAL.DBF
f2_224_subsid_invest,F2_224_SUBSID_INVEST.DBF
f2_230_extra_losses,F2_230_EXTRA_LOSSES.DBF
f2_230_prepayments,F2_230_PREPAYMENTS.DBF
f2_230_unrec_costs,F2_230_UNREC_COSTS.DBF
f2_232_othr_reg_assets,F2_232_OTHR_REG_ASSETS.DBF
f2_233_misc_dfrrd_db,F2_233_MISC_DFRRD_DB.DBF
f2_234_accum_dfrrd_tax,F2_234_ACCUM_DFRRD_TAX.DBF
f2_250_capital_stock,F2_250_CAPITAL_STOCK.DBF
f2_252_cap_stock,F2_252_CAP_STOCK.DBF
f2_253_other_capital,F2_253_OTHER_CAPITAL.DBF
f2_254_cap_stk_expense,F2_254_CAP_STK_EXPENSE.DBF
f2_254_discount_cap_stk,F2_254_DISCOUNT_CAP_STK.DBF
f2_255_securities,F2_255_SECURITIES.DBF
f2_256_long_term_debt,F2_256_LONG_TERM_DEBT.DBF
f2_258_unamort_debt,F2_258_UNAMORT_DEBT.DBF
f2_260_unamort_loss_gain,F2_260_UNAMORT_LOSS_GAIN.DBF
f2_261_reconcil_net_inc,F2_261_RECONCIL_NET_INC.DBF
f2_262_taxes_accrued,F2_262_TAXES_ACCRUED.DBF
f2_268_misc_curr_liab,F2_268_MISC_CURR_LIAB.DBF
f2_269_other_dfrrd_cr,F2_269_OTHER_DFRRD_CR.DBF
f2_274_dfrrd_tax_prop,F2_274_DFRRD_TAX_PROP.DBF
f2_276_dfrrd_tax_other,F2_276_DFRRD_TAX_OTHER.DBF
f2_278_other_reg_liab,F2_278_OTHER_REG_LIAB.DBF
f2_299_mthqtr_rev_sched,F2_299_MTHQTR_REV_SCHED.DBF
f2_300_gas_op_rev,F2_300_GAS_OP_REV.DBF
f2_302_rev_gas_gather,F2_302_REV_GAS_GATHER.DBF
f2_304_rev_gas_trans,F2_304_REV_GAS_TRANS.DBF
f2_306_rev_store_gas,F2_306_REV_STORE_GAS.DBF
f2_308_other_gas_rev,F2_308_OTHER_GAS_REV.DBF
f2_309_gas_rev_and_deks,F2_309_GAS_REV_AND_DEKS.DBF
f2_310_gas_prod_sply_exp,F2_310_GAS_PROD_SPLY_EXP.DBF
f2_311_gas_stor_exp,F2_311_GAS_STOR_EXP.DBF
f2_312_gas_admin_exp,F2_312_GAS_ADMIN_EXP.DBF
f2_313_disc_neg_rate_serv,F2_313_DISC_NEG_RATE_SERV.DBF
f2_317_gas_op_maint,F2_317_GAS_OP_MAINT.DBF
f2_328_exchange_imbalance,F2_328_EXCHANGE_IMBALANCE.DBF
f2_331_gas_utility_op,F2_331_GAS_UTILITY_OP.DBF
f2_332_trans_comp_other,F2_332_TRANS_COMP_OTHER.DBF
f2_334_oth_spply_expns,F2_334_OTH_SPPLY_EXPNS.DBF
f2_335_misc_gen_expense,F2_335_MISC_GEN_EXPENSE.DBF
f2_336_depr_depl_amort_a,F2_336_DEPR_DEPL_AMORT_A.DBF
f2_338_depr_depl_amort_b,F2_338_DEPR_DEPL_AMORT_B.DBF
