year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fuel_consumed_units_april,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_apr,quantity_april,quantity_apr,quantity_april,quantity_april,quantity_april,quantity_april,quantity_april,quantity_april,quantity_april
fuel_consumed_units_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may,quantity_may
fuel_consumed_units_june,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_jun,quantity_june,quantity_jun,quantity_june,quantity_june,quantity_june,quantity_june,quantity_june,quantity_june,quantity_june
fuel_consumed_units_july,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_jul,quantity_july,quantity_jul,quantity_july,quantity_july,quantity_july,quantity_july,quantity_july,quantity_july,quantity_july
fuel_consumed_units_august,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_aug,quantity_august,quantity_aug,quantity_august,quantity_august,quantity_august,quantity_august,quantity_august,quantity_august,quantity_august
fuel_consumed_units_september,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_sep,quantity_september,quantity_sep,quantity_september,quantity_september,quantity_september,quantity_september,quantity_september,quantity_september,quantity_september
fuel_consumed_units_october,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_oct,quantity_october,quantity_oct,quantity_october,quantity_october,quantity_october,quantity_october,quantity_october,quantity_october,quantity_october
fuel_consumed_units_november,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_nov,quantity_november,quantity_nov,quantity_november,quantity_november,quantity_november,quantity_november,quantity_november,quantity_november,quantity_november
fuel_consumed_units_december,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_dec,quantity_december,quantity_dec,quantity_december,quantity_december,quantity_december,quantity_december,quantity_december,quantity_december,quantity_december
fuel_consumed_for_electricity_units_january,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_jan,elec_quantity_january,elec_quantity_jan,elec_quantity_january,elec_quantity_january,elec_quantity_january,elec_quantity_january,elec_quantity_january,elec_quantity_january,elec_quantity_january
fuel_consumed_for_electricity_units_february,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_feb,elec_quantity_february,elec_quantity_feb,elec_quantity_february,elec_quantity_february,elec_quantity_february,elec_quantity_february,elec_quantity_february,elec_quantity_february,elec_quantity_february
