year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fuel_consumed_for_electricity_mmbtu_march,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtus_mar,elec_mmbtumar,elec_mmbtu_march,elec_mmbtumar,elec_mmbtu_march,elec_mmbtu_march,elec_mmbtu_march,elec_mmbtu_march,elec_mmbtu_march,elec_mmbtu_march,elec_mmbtu_march
fuel_consumed_for_electricity_mmbtu_april,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtus_apr,elec_mmbtuapr,elec_mmbtu_april,elec_mmbtuapr,elec_mmbtu_april,elec_mmbtu_april,elec_mmbtu_april,elec_mmbtu_april,elec_mmbtu_april,elec_mmbtu_april,elec_mmbtu_april
fuel_consumed_for_electricity_mmbtu_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtus_may,elec_mmbtumay,elec_mmbtu_may,elec_mmbtumay,elec_mmbtu_may,elec_mmbtu_may,elec_mmbtu_may,elec_mmbtu_may,elec_mmbtu_may,elec_mmbtu_may,elec_mmbtu_may
fuel_consumed_for_electricity_mmbtu_june,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtus_jun,elec_mmbtujun,elec_mmbtu_june,elec_mmbtujun,elec_mmbtu_june,elec_mmbtu_june,elec_mmbtu_june,elec_mmbtu_june,elec_mmbtu_june,elec_mmbtu_june,elec_mmbtu_june
fuel_consumed_for_electricity_mmbtu_july,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtus_jul,elec_mmbtujul,elec_mmbtu_july,elec_mmbtujul,elec_mmbtu_july,elec_mmbtu_july,elec_mmbtu_july,elec_mmbtu_july,elec_mmbtu_july,elec_mmbtu_july,elec_mmbtu_july
fuel_consumed_for_electricity_mmbtu_august,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtus_aug,elec_mmbtuaug,elec_mmbtu_august,elec_mmbtuaug,elec_mmbtu_august,elec_mmbtu_august,elec_mmbtu_august,elec_mmbtu_august,elec_mmbtu_august,elec_mmbtu_august,elec_mmbtu_august
fuel_consumed_for_electricity_mmbtu_september,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtus_sep,elec_mmbtusep,elec_mmbtu_september,elec_mmbtusep,elec_mmbtu_september,elec_mmbtu_september,elec_mmbtu_september,elec_mmbtu_september,elec_mmbtu_september,elec_mmbtu_september,elec_mmbtu_september
fuel_consumed_for_electricity_mmbtu_october,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtus_oct,elec_mmbtuoct,elec_mmbtu_october,elec_mmbtuoct,elec_mmbtu_october,elec_mmbtu_october,elec_mmbtu_october,elec_mmbtu_october,elec_mmbtu_october,elec_mmbtu_october,elec_mmbtu_october
fuel_consumed_for_electricity_mmbtu_november,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtus_nov,elec_mmbtunov,elec_mmbtu_november,elec_mmbtunov,elec_mmbtu_november,elec_mmbtu_november,elec_mmbtu_november,elec_mmbtu_november,elec_mmbtu_november,elec_mmbtu_november,elec_mmbtu_november
fuel_consumed_for_electricity_mmbtu_december,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtus_dec,elec_mmbtudec,elec_mmbtu_december,elec_mmbtudec,elec_mmbtu_december,elec_mmbtu_december,elec_mmbtu_december,elec_mmbtu_december,elec_mmbtu_december,elec_mmbtu_december,elec_mmbtu_december
net_generation_mwh_january,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_jan,netgen_january,netgen_jan,netgen_january,netgen_january,netgen_january,netgen_january,netgen_january,netgen_january,netgen_january
net_generation_mwh_february,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_feb,netgen_february,netgen_feb,netgen_february,netgen_february,netgen_february,netgen_february,netgen_february,netgen_february,netgen_february
net_generation_mwh_march,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_mar,netgen_march,netgen_mar,netgen_march,netgen_march,netgen_march,netgen_march,netgen_march,netgen_march,netgen_march
net_generation_mwh_april,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_apr,netgen_april,netgen_apr,netgen_april,netgen_april,netgen_april,netgen_april,netgen_april,netgen_april,netgen_april
net_generation_mwh_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may,netgen_may
net_generation_mwh_june,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_jun,netgen_june,netgen_jun,netgen_june,netgen_june,netgen_june,netgen_june,netgen_june,netgen_june,netgen_june
net_generation_mwh_july,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_jul,netgen_july,netgen_jul,netgen_july,netgen_july,netgen_july,netgen_july,netgen_july,netgen_july,netgen_july
net_generation_mwh_august,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_aug,netgen_august,netgen_aug,netgen_august,netgen_august,netgen_august,netgen_august,netgen_august,netgen_august,netgen_august
net_generation_mwh_september,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_sep,netgen_september,netgen_sep,netgen_september,netgen_september,netgen_september,netgen_september,netgen_september,netgen_september,netgen_september
net_generation_mwh_october,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_oct,netgen_october,netgen_oct,netgen_october,netgen_october,netgen_october,netgen_october,netgen_october,netgen_october,netgen_october
net_generation_mwh_november,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_nov,netgen_november,netgen_nov,netgen_november,netgen_november,netgen_november,netgen_november,netgen_november,netgen_november,netgen_november
net_generation_mwh_december,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_dec,netgen_december,netgen_dec,netgen_december,netgen_december,netgen_december,netgen_december,netgen_december,netgen_december,netgen_december
total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity,total_fuel_consumption_quantity
electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity,electric_fuel_consumption_quantity
total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtus,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu,total_fuel_consumption_mmbtu
elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtus,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu,elec_fuel_consumption_mmbtu
net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours,net_generation_megawatthours
report_year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
