respondent_id,respondent_name
103,Montana-Dakota Utilities Company
104,Montaup Electric Company
105,Mt. Carmel Public Utility Co
106,Nantahala Power and Light Company
107,The Narragansett Electric Company
108,Nevada Power Company
109,Nevada Sun-Peak Limited Partnership
110,New England Electric Transmission Corporation
111,"New England Hydro-Trans. Elec. Co., Inc."
112,New England Hydro-Transmission Corporation
113,New England Power Company
114,"Entergy New Orleans, Inc. (Debtor-in-possession)"
115,New York State Electric & Gas Corporation
116,Newport Electric Corporation
117,Niagara Mohawk Power Corporation
118,North Atlantic Energy Corporation
119,Northern Indiana Public Service Company
120,Northern States Power Company (Minnesota)
121,Northern States Power Company (Wisconsin)
122,NorthWestern Corporation
123,Northwestern Wisconsin Electric Company
124,Ocean State Power
125,"Ocean State Power, II"
126,Ohio Edison Company
127,Ohio Power Company
128,Ohio Valley Electric Corporation
129,Old Dominion Electric Cooperative
130,Oklahoma Gas and Electric Company
131,"Orange and Rockland Utilities, Inc."
132,Otter Tail Corporation
133,PACIFIC GAS AND ELECTRIC COMPANY
134,PacifiCorp
135,PECO Energy Company
136,Pennsylvania Electric Company
137,Pennsylvania Power Company
138,PPL Electric Utilities Corporation
139,"Pepperell Power Association, Limited Partnership"
140,Pioneer Power and Light Company
141,Portland General Electric Company
142,THE POTOMAC EDISON COMPANY
143,Potomac Electric Power Company
144,"Duke Energy Indiana, Inc"
145,Public Service Company of Colorado
146,Public Service Company of New Hampshire
147,Public Service Company of New Mexico
148,Public Service Company of Oklahoma
149,Public Service Electric and Gas Company
150,"Puget Sound Energy, Inc."
151,Rochester Gas and Electric Corporation
152,Rockland Electric Company
153,Safe Harbor Water Power Corporation
154,St. Joseph Light & Power Company
155,San Diego Gas & Electric Company
156,Savannah Electric and Power Company
157,Sierra Pacific Power Company
158,"South Beloit Water, Gas and Electric Company"
159,South Carolina Electric & Gas Company
160,"South Carolina Generating Company, Inc."
161,Southern California Edison Company
162,SOUTHERN ELECTRIC GENERATING COMPANY
163,Southern Indiana Gas and Electric Company
164,Southwestern Electric Power Company
165,TXU SESCO Company
166,Southwestern Public Service Company
167,"Superior Water, Light and Power Company"
168,Susquehanna Electric Company
169,"System Energy Resources, Inc."
170,Tampa Electric Company
171,Alcoa Power Generating Inc.
172,Terra Comfort Corporation
173,TXU Electric Company
174,Texas-New Mexico Power Company
175,"Toledo Edison Company, The"
176,Tucson Electric Power Company
177,UNION ELECTRIC COMPANY
178,"Duke Energy Kentucky, Inc."
179,The United Illuminating Company
180,UNITIL Power Corp.
181,Upper Peninsula Power Company
182,"Aquila, Inc."
183,"Vermont Electric Power Company, Inc."
184,"Vermont Electric Transmission Company, Inc."
185,Vermont Yankee Nuclear Power Corporation
186,VIRGINIA ELECTRIC AND POWER COMPANY
187,Avista Corporation
188,WEST PENN POWER COMPANY
189,AEP Texas North Company
190,Western Massachusetts Electric Company
191,"Westar Energy, Inc."
192,Wheeling Power Company
193,Wisconsin Electric Power Company
194,Wisconsin Power and Light Company
195,Wisconsin Public Service Corporation
196,Wisconsin River Power Company
197,"Yadkin, Inc."
198,Yankee Atomic Electric Company
199,York Haven Power Company
200,AROOSTOOK VALLEY ELECTRIC COMPANY
201,Big Rivers Electric Corporation
202,"Chugach Electric Association, Inc."
203,"East Texas Electric Cooperative, Inc."
204,"New Hampshire Electric Cooperative, Inc."
205,Oconto Electric Cooperative
206,Peoples Electric Cooperative
207,"Rayburn Country Electric Cooperative, Inc."
208,W.F. Wyman Unit No. 4 Composite Data 100%
209,Medina Power Company
210,MidAmerican Energy Company
211,"Black Creek Hydro, Inc."
212,BeeBee Island Corporation
213,Midwest Energy Inc.
214,Moreau Manufacturing
215,"Newcorp Resources Electric Cooperative, Inc."
218,Connexus Energy
221,"Soyland Power Cooperative, Inc"
222,Pacific Northwest Generating Cooperative
224,Village of Morrisville Water and Light Department
225,Valley Electric Association Inc.
226,Deseret Generation & Transmission Cooperative
227,"Wolverine Power Supply Cooperative, Inc."
228,Inland Power & Light Company
229,California Independent System Operator Corporation
230,"Hermiston Generating Company, L.P."
231,ISO New England Inc.
232,"Graham County Electric Cooperative, Inc."
233,Berea College Utilities
234,"Delta Natural Gas Company, Inc."
235,Duke Energy Moss Landing LLC
236,Duke Energy Oakland LLC
