respondent_id,respondent_name,plant_name
44,The Detroit Edison Company,Colfax Peaker
44,The Detroit Edison Company,Wilmot Peaker
44,The Detroit Edison Company,Monroe Peaker
44,The Detroit Edison Company,Greenwood Peaker
44,The Detroit Edison Company,Oliver Peaker
44,The Detroit Edison Company,St. Clair Peaker
44,The Detroit Edison Company,Delray Peaker
44,The Detroit Edison Company,Belle River Gas Pkr
44,The Detroit Edison Company,Dean Peaker
44,The Detroit Edison Company,Renaissance Peaker
44,The Detroit Edison Company,Steam Heating Plant
44,The Detroit Edison Company,* Beacon
44,The Detroit Edison Company,Internal Combustion
44,The Detroit Edison Company,Peaking Units
44,The Detroit Edison Company,* Connors Creek
44,The Detroit Edison Company,*Harbor Beach
44,The Detroit Edison Company,*St. Clair
44,The Detroit Edison Company,Wind - Solar
44,The Detroit Edison Company,SCIO Solar Array (Scio Twp)
44,The Detroit Edison Company,Ford Solar Array (Wayne)
44,The Detroit Edison Company,MCCC Solar Array (Monroe)
44,The Detroit Edison Company,GM Solar Array (Hamtramck)
44,The Detroit Edison Company,Blue Cross Blue Shield Solar
44,The Detroit Edison Company,TDC Solar Array (Westland)
44,The Detroit Edison Company,Gratiot Wind Park (Breckenridge)
44,The Detroit Edison Company,Connors Creek
44,The Detroit Edison Company,Thumb Wind Park
44,The Detroit Edison Company,Warren Service Center (Solar)
44,The Detroit Edison Company,Mercy High School (Solar
44,The Detroit Edison Company,Gratiot Wind Park
44,The Detroit Edison Company,Blue Cross Blue Shield (Detroit)
44,The Detroit Edison Company,St. Clair RESA (Marysville)
44,The Detroit Edison Company,Leipprandt Orchards (Pigeon)
