respondent_id,respondent_name,plant_name
3,Alaska Electric Light and Power Company,Creek for 1984 from 9.5 for previous years
3,Alaska Electric Light and Power Company,to the correct number.    The upper Salmon power
3,Alaska Electric Light and Power Company,size of the penstock limits the maximum power
3,Alaska Electric Light and Power Company,out of Salmon Creek to 5 MW.
3,Alaska Electric Light and Power Company,plant was decommissioned in 1997 & the capacity
3,Alaska Electric Light and Power Company,was never subtracted from the project.  The
3,Alaska Electric Light and Power Company,Installed capacity is 8.5 MW
3,Alaska Electric Light and Power Company,Actual project capacity is 5.0 MW.
3,Alaska Electric Light and Power Company,The size of the penstock limits the maximum
3,Alaska Electric Light and Power Company,power out of Salmon Creek to 5 MW.
3,Alaska Electric Light and Power Company,Project capacity is 5 MW
3,Alaska Electric Light and Power Company,Unit #1 Elliot/Enterprise
3,Alaska Electric Light and Power Company,Unit#2  GE/Enterprise
3,Alaska Electric Light and Power Company,Unit#3 Fairbanks//Fairbanks Morse
3,Alaska Electric Light and Power Company,Unit#4  GE/Enterprise
3,Alaska Electric Light and Power Company,Unit#5  Electric Mach/Fairbanks Morse
3,Alaska Electric Light and Power Company,FERC Project No. 2307
3,Alaska Electric Light and Power Company,power out of Salmon Creek to 5 MW.  Installed
3,Alaska Electric Light and Power Company,capacity is 8.5 MW.  Project capacity is 5 MW
3,Alaska Electric Light and Power Company,   Unit #1 Elliot/Enterprise
3,Alaska Electric Light and Power Company,   Unit#2  GE/Enterprise
3,Alaska Electric Light and Power Company,   Unit#3 Fairbanks//Fairbanks Morse
3,Alaska Electric Light and Power Company,   Unit#4  GE/Enterprise
3,Alaska Electric Light and Power Company,   Unit#5  Electric Mach/Fairbanks Morse
3,Alaska Electric Light and Power Company,Total Gold Creek Internal Combustion
3,Alaska Electric Light and Power Company,Lake Dorothy
5,THE ALLEGHENY GENERATING COMPANY,Bath County
6,Appalachian Power Company,Clinch River
6,Appalachian Power Company,Amos-APCo Share
6,Appalachian Power Company,Amos-Total
6,Appalachian Power Company,Glen Lyn
6,Appalachian Power Company,Kanawha River
6,Appalachian Power Company,Mountaineer
6,Appalachian Power Company,Philip Sporn - APCo
6,Appalachian Power Company,Philip Sporn - Total
6,Appalachian Power Company,Ceredo
6,Appalachian Power Company,Dresden
6,Appalachian Power Company,Amos
6,Appalachian Power Company,HYDRO-ELECTRIC
6,Appalachian Power Company,Niagara - Project #2466
6,Appalachian Power Company,Buck - Project #2514
6,Appalachian Power Company,TOTAL HYDRO (Small Plants)
6,Appalachian Power Company,CLAYTOR
6,Appalachian Power Company,LEESVILLE
6,Appalachian Power Company,REUSENS
6,Appalachian Power Company,BYLLESBY
6,Appalachian Power Company,MARMET
6,Appalachian Power Company,LONDON
6,Appalachian Power Company,WINFIELD
6,Appalachian Power Company,SMITH MOUNTAIN
6,Appalachian Power Company,Smith Mountain
7,Arizona Public Service Company,"Cholla 1, 2, 3"
7,Arizona Public Service Company,Four Corners
7,Arizona Public Service Company,Ocotillo
7,Arizona Public Service Company,Saguaro
7,Arizona Public Service Company,Yucca
7,Arizona Public Service Company,West Phoenix
7,Arizona Public Service Company,Navajo
7,Arizona Public Service Company,Yucca CT
7,Arizona Public Service Company,Douglas
7,Arizona Public Service Company,Ocotillo CT
7,Arizona Public Service Company,Palo Verde
7,Arizona Public Service Company,Saguaro 3
7,Arizona Public Service Company,Sundance
7,Arizona Public Service Company,West Phoenix 4-5
7,Arizona Public Service Company,Redhawk 1-2
7,Arizona Public Service Company,Saguaro 1-2
7,Arizona Public Service Company,West Phoenix 1-3
7,Arizona Public Service Company,Cholla 1
7,Arizona Public Service Company,Cholla 2
7,Arizona Public Service Company,Cholla 3
7,Arizona Public Service Company,Four Corners 1
7,Arizona Public Service Company,Four Corners 2
7,Arizona Public Service Company,Four Corners 3
7,Arizona Public Service Company,Four Corners 4
7,Arizona Public Service Company,Four Corners 5
7,Arizona Public Service Company,Ocotillo 1
7,Arizona Public Service Company,Ocotillo 2
7,Arizona Public Service Company,Saguaro 1
7,Arizona Public Service Company,Saguaro 2
7,Arizona Public Service Company,Yucca 1
7,Arizona Public Service Company,Yucca 2
7,Arizona Public Service Company,Yucca 3
7,Arizona Public Service Company,Yucca 4
7,Arizona Public Service Company,West Phoenix 1
7,Arizona Public Service Company,West Phoenix 2
7,Arizona Public Service Company,West Phoenix 3
7,Arizona Public Service Company,West Phoenix 4
7,Arizona Public Service Company,West Phoenix 5
7,Arizona Public Service Company,Redhawk 1
7,Arizona Public Service Company,Redhawk 2
7,Arizona Public Service Company,Palo Verde 1
7,Arizona Public Service Company,Palo Verde 2
7,Arizona Public Service Company,Palo Verde 3
7,Arizona Public Service Company,Yucca 5
7,Arizona Public Service Company,Yucca 6
7,Arizona Public Service Company,Red Hawk 1
7,Arizona Public Service Company,West  Phoenix 1
