year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,generator_id,operational_status_code,technology_description,prime_mover_code,sector_name_eia,sector_id_eia,capacity_mw,summer_capacity_mw,winter_capacity_mw,current_planned_generator_operating_month,current_planned_generator_operating_year,energy_source_code_1,energy_source_code_2,can_burn_multiple_fuels,can_cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,can_switch_oil_gas,can_switch_when_operating,net_summer_capacity_with_natural_gas_mw,net_summer_capacity_with_oil_mw,has_factors_that_limit_switching,has_storage_limits,has_air_permit_limits,has_other_limits,can_cofire_oil_and_gas,can_cofire_100_oil,max_oil_heat_input,max_oil_output_mw,can_fuel_switch,time_to_switch,regulatory_limits,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2014,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,,,energy_source_1,energy_source_2,,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2015,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,,,energy_source_1,energy_source_2,,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2016,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,,,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2017,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2018,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2019,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2020,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2021,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2022,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2023,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
2024,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,technology,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,current_month,current_year,energy_source_1,energy_source_2,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
