year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,generator_id,technology_description,prime_mover_code,operational_status_code,capacity_mw,summer_capacity_mw,winter_capacity_mw,unit_id_eia,original_planned_generator_operating_month,original_planned_generator_operating_year,current_planned_generator_operating_month,current_planned_generator_operating_year,energy_source_code_1,energy_source_code_2,energy_source_code_3,energy_source_code_4,energy_source_code_5,energy_source_code_6,energy_source_1_transport_1,energy_source_1_transport_2,energy_source_1_transport_3,energy_source_2_transport_1,energy_source_2_transport_2,energy_source_2_transport_3,can_burn_multiple_fuels,ownership_code,turbines_num,associated_combined_heat_power,distributed_generation,sector_name_eia,sector_id_eia,duct_burners,solid_fuel_gasification,pulverized_coal_tech,fluidized_bed_tech,subcritical_tech,supercritical_tech,ultrasupercritical_tech,carbon_capture,startup_source_code_1,startup_source_code_2,startup_source_code_3,startup_source_code_4,summer_estimated_capability_mw,winter_estimated_capability_mw,can_switch_when_operating,bypass_heat_recovery,rto_iso_lmp_node_id,rto_iso_location_wholesale_reporting_id,nameplate_power_factor,turbines_inverters_hydrokinetics,stoker_tech,other_combustion_tech,switch_oil_gas,can_cofire_fuels,previously_canceled
2001,utilcode,,plntcode,,,,gencode,,primemover,status,nameplate,summcap,wintcap,multigen,orgmnth,orgyear,curmonth,curyear,ensource1,ensource2,ensource3,ensource4,ensource5,ensource6,transmode1,,,transmode2,,,,owner,propwind,cogen,distgen,,,,,,,,,,,,,,,estsummer,estwinter,,,,,,,,,,,
2002,utilcode,,plntcode,,,,gencode,,primemover,status,nameplate,summcap,wintcap,multigen,orgmnth,orgyear,curmonth,curyear,ensource1,ensource2,ensource3,ensource4,ensource5,ensource6,transmode1,,,transmode2,,,,owner,propwind,cogen,distgen,,,,,,,,,,,,,,,estsummer,estwinter,,,,,,,,,,,
2003,utilcode,,plntcode,,,,gencode,,primemover,status,nameplate,summcap,wintcap,multigen,orgmnth,orgyear,curmonth,curyear,ensource1,ensource2,ensource3,ensource4,ensource5,ensource6,transmode1,,,transmode2,,,,owner,propwind,cogen,distgen,,,,,,,,,,,,,,,estsummer,estwinter,,,,,,,,,,,
2004,utilcode,utilname,plntcode,plntname,state,,gencode,,primemover,proposed_status,proposed_nameplate,proposed_summer_capability,proposed_winter_capability,unit_code,org_month,org_year,current_month,current_year,proposed_energy_source_1,proposed_energy_source_2,proposed_energy_source_3,proposed_energy_source_4,proposed_energy_source_5,proposed_energy_source_6,proposed_transportation_1a,proposed_transportation_1b,proposed_transportation_1c,proposed_transportation_2a,proposed_transportation_2b,proposed_transportation_2c,,owner,proposed_turbines,proposed_cogenerator,proposed_distgenerator,,,,,,,,,,,,,,,summer_estimated_capability,winter_estimated_capability,,,,,,,,,,,
2005,utilcode,utilname,plntcode,plntname,state,,gencode,,primemover,proposed_status,proposed_nameplate,proposed_summer_capability,proposed_winter_capability,unit_code,org_month,org_year,current_month,current_year,proposed_energy_source_1,proposed_energy_source_2,proposed_energy_source_3,proposed_energy_source_4,proposed_energy_source_5,proposed_energy_source_6,proposed_transportation_1a,proposed_transportation_1b,proposed_transportation_1c,proposed_transportation_2a,proposed_transportation_2b,proposed_transportation_2c,,owner,proposed_turbines,proposed_cogenerator,proposed_distgenerator,,,,,,,,,,,,,,,summer_estimated_capability,winter_estimated_capability,,,,,,,,,,,
2006,utilcode,utilname,plntcode,plntname,state,,gencode,,primemover,proposed_status,proposed_nameplate,proposed_summer_capability,proposed_winter_capability,unit_code,org_month,org_year,current_month,current_year,proposed_energy_source_1,proposed_energy_source_2,proposed_energy_source_3,proposed_energy_source_4,proposed_energy_source_5,proposed_energy_source_6,proposed_transportation_1a,proposed_transportation_1b,proposed_transportation_1c,proposed_transportation_2a,proposed_transportation_2b,proposed_transportation_2c,,owner,proposed_turbines,proposed_cogenerator,proposed_distgenerator,,,,proposed_sfg_system,,,,,,,,,,,summer_estimated_capability,winter_estimated_capability,,,,,,,,,,,
2007,utilcode,utilname,plntcode,plntname,state,,gencode,,primemover,status,nameplate,summer_capacity,winter_capacity,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,,,,,,ownership,turbines,cogenerator,,,,duct_burners,sfg_system,,,,,,,,,,,summer_estimated_capacity,winter_estimated_capacity,,,,,,,,,,,
2008,utilcode,utilname,plntcode,plntname,state,,gencode,,primemover,status,nameplate,summer_capability,winter_capability,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,,,,,,ownership,turbines,cogenerator,,,,duct_burners,sfg_system,,,,,,,,,,,summer_estimated_capability,winter_estimated_capability,,,,,,,,,,,
2009,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate,summer_capability,winter_capability,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,,,,,multiple_fuels,ownership,turbines,cogenerator,,,,,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,summer_estimated_capability,winter_estimated_capability,,,,,,,,,,,
2010,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate,summer_capability,winter_capability,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,,,,,multiple_fuels,ownership,turbines,cogenerator,,sector_name,sector_number,,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,operating_switch,,,,,,,,,,
2011,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,prime_mover,status,nameplate,summer_capability,winter_capability,unit_code,effective_month,effective_year,current_month,current_year,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,,,,,,,multiple_fuels,ownership,turbines,cogenerator,,sector_name,sector,duct_burners,sfg_system,pulverized_coal,fluidized_bed,subcritical,supercritical,ultrasupercritical,carboncapture,startup_source_1,startup_source_2,startup_source_3,startup_source_4,,,,,,,,,,,,,
