year_index,utility_id_eia,plant_id_eia,boiler_id,generator_id,boiler_generator_assn_type_code,steam_plant_type_code,plant_name_eia,utility_name_eia
2009,utility_id,plant_code,boiler_id,generator_id,generator_association,,,
2010,utility_id,plant_code,boiler_id,generator_id,generator_association,,,
2011,utility_id,plant_code,boiler_id,generator_id,generator_association,,,
2012,utility_id,plant_code,boiler_id,generator_id,generator_association,,,
2013,utility_id,plant_code,boiler_id,generator_id,,,plant_name,utility_name
2014,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2015,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2016,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2017,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2018,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2019,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2020,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2021,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2022,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2023,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
2024,utility_id,plant_code,boiler_id,generator_id,,steam_plant_type,plant_name,utility_name
