report_year,respondent_id,record_number,plant_name,nice_plant_name,kind_of_plant,ferc_license,yr_constructed,capacity_rating,net_demand,net_generation,plant_cost,plant_cost_mw,operation,expns_fuel,expns_maint,kind_of_fuel,fuel_cost
2004,25,12,Silver Lake                   11478,Silver Lake,hydro,11478,1917,2.2,2,6217,2069344,940611,78529,0,38851,,0
2004,25,13,Middlebury Lower          2737,Middlebury Lower,hydro,2737,1917,2.25,2,7750,2874252,1277445,86614,0,29514,,0
2004,25,14,Taftsville                         2490,Taftsville,hydro,2490,1910,0.5,0,775,376106,752213,31173,0,17614,,0
2004,25,15,Fairfax                            2205,Fairfax,hydro,2205,1919,3.6,3,18840,2224684,617968,59604,0,86126,,0
2004,25,16,Pierce Mills                      2396,Pierce Mills,hydro,2396,1928,0.25,0,1467,329866,1319466,20788,0,7498,,0
2004,25,17,Arnold Falls                    2399,Arnold Falls,hydro,2399,1928,0.35,0,1670,245673,701922,25338,0,8262,,0
2004,25,18,Gage                              2397,Gage,hydro,2397,1921,0.7,1,2704,799771,1142530,34687,0,13041,,0
2004,25,19,Passumpsic                    2400,Passumpsic,hydro,2400,1929,0.7,1,2814,430421,614887,32134,0,14698,,0
2004,25,20,Milton                              2205,Milton,hydro,2205,1929,7.5,7,44002,3109746,414633,106175,0,57148,,0
2004,25,21,Clark Falls                       2205,Clark Falls,hydro,2205,1937,3,3,7559,3330669,1110223,47100,0,113763,,0
2004,25,22,Peterson                         2205,Peterson,hydro,2205,1948,6.35,6,30460,1638725,258067,74871,0,45320,,0
2004,25,23,Smith                               2488,Smith,hydro,2488,1982,1.5,1,5032,4483942,2989295,54588,0,23351,,0
2004,25,24,East Barnet                     3051,East Barnet,hydro,3051,1984,2.2,2,8713,6199788,2818086,51195,0,52470,,0
2004,25,26,Total Hydro,,,,,44.74,42,182084,42488548,949677,1081113,0,834013,,0
2004,27,1,   N/A,,,,,0,0,0,0,0,0,0,0,,0
2004,29,1,Internal Combustion,,,,,0,0,0,0,0,0,0,0,,0
2004,29,2,"Newport, Vermont",,internal_combustion,,1948,7,0,0,961225,137318,429,5398,3654,Oil,0
2004,29,4,Hydro,,,,,0,0,0,0,0,0,0,0,,0
2004,29,6,"Charleston, Vermont",,hydro,,1928,0.8,0,0,1652859,2066074,0,0,0,,0
2004,29,7,"Newport, Vermont",,hydro,,1917,5.6,0,0,4322488,771873,21008,0,14764,,0
2004,36,1,NOT APPLICABLE,,,,,0,0,0,0,0,0,0,0,,0
2004,40,1,HYDRO PLANTS:,,,,,0,0,0,0,0,0,0,0,,0
