table,filename
f60_s0_row_changes,F60_S0_ROW_CHANGES.DBF
f60_s0_sched_info,F60_S0_SCHED_INFO.DBF
f60_s0_filing_log,F60_S0_FILING_LOG.DBF
f60_viii_misc_assets,F60_VIII_MISC_ASSETS.DBF
f60_admin,F60_ADMIN.DBF
f60_xii_longterm_debt,F60_XII_LONGTERM_DEBT.DBF
f60_x_dev_demo_exp,F60_X_DEV_DEMO_EXP.DBF
f60_457_bill_assoc_comp,F60_457_BILL_ASSOC_COMP.DBF
f60_methods_alloc,F60_METHODS_ALLOC.DBF
f60_s0_copy_forward,F60_S0_COPY_FORWARD.DBF
f60_xvii_expns_dept_srv,F60_XVII_EXPNS_DEPT_SRV.DBF
f60_v_acct_rev_assoc,F60_V_ACCT_REV_ASSOC.DBF
f60_vi_undist_fuelexp,F60_VI_UNDIST_FUELEXP.DBF
f60_xi_prop_cap,F60_XI_PROP_CAP.DBF
f60_s0_comp_lookup,F60_S0_COMP_LOOKUP.DBF
f60_iii_accum_prv_prop,F60_III_ACCUM_PRV_PROP.DBF
f60_xiii_curr_acc_liab,F60_XIII_CURR_ACC_LIAB.DBF
f60_s0_locker,F60_S0_LOCKER.DBF
f60_xv_comp_inc_stmnt,F60_XV_COMP_INC_STMNT.DBF
f60_i_comp_bal,F60_I_COMP_BAL.DBF
f60_s0_catchall,F60_S0_CATCHALL.DBF
f60_s0_respondent_id,F60_S0_RESPONDENT_ID.DBF
f60_ix_misc_dffrd_debit,F60_IX_MISC_DFFRD_DEBIT.DBF
f60_xiv_note_fin_stmnt,F60_XIV_NOTE_FIN_STMNT.DBF
f60_930_2_misc_gen_expns,F60_930_2_MISC_GEN_EXPNS.DBF
f60_s0_row_literals,F60_S0_ROW_LITERALS.DBF
f60_001_ident_attsttn,F60_001_IDENT_ATTSTTN.DBF
f60_xviii_notes_stmnt_inc,F60_XVIII_NOTES_STMNT_INC.DBF
f60_iv_investments,F60_IV_INVESTMENTS.DBF
f60_s0_col_literals,F60_S0_COL_LITERALS.DBF
f60_footnotes,F60_FOOTNOTES.DBF
f60_ii_compprop,F60_II_COMPPROP.DBF
f60_s0_checks,F60_S0_CHECKS.DBF
f60_s0_supp,F60_S0_SUPP.DBF
f60_s0_calcs,F60_S0_CALCS.DBF
f60_vii_undist_store_exp,F60_VII_UNDIST_STORE_EXP.DBF
f60_s0_state_abbrev,F60_S0_STATE_ABBREV.DBF
f60_920_dept_salary,F60_920_DEPT_SALARY.DBF
f60_458_bill_nonassoc,F60_458_BILL_NONASSOC.DBF
f60_s0_pins,F60_S0_PINS.DBF
f60_xvi_chrg_serv,F60_XVI_CHRG_SERV.DBF
f60_stmt_comp_cap_billed,F60_STMT_COMP_CAP_BILLED.DBF
f60_002_list_of_sched,F60_002_LIST_OF_SCHED.DBF
f60_org_chart,F60_ORG_CHART.DBF
