table_name,partition,row_count
out_eia923__boiler_fuel,2010-10-01,6775
out_eia923__boiler_fuel,2010-11-01,6790
out_eia923__boiler_fuel,2010-12-01,6795
out_eia923__boiler_fuel,2011-01-01,7155
out_eia923__boiler_fuel,2011-02-01,7155
out_eia923__boiler_fuel,2011-03-01,7155
out_eia923__boiler_fuel,2011-04-01,7155
out_eia923__boiler_fuel,2011-05-01,7155
out_eia923__boiler_fuel,2011-06-01,7155
out_eia923__boiler_fuel,2011-07-01,7155
out_eia923__boiler_fuel,2011-08-01,7155
out_eia923__boiler_fuel,2011-09-01,7155
out_eia923__boiler_fuel,2011-10-01,7155
out_eia923__boiler_fuel,2011-11-01,7155
out_eia923__boiler_fuel,2011-12-01,7155
out_eia923__boiler_fuel,2012-01-01,7149
out_eia923__boiler_fuel,2012-02-01,7152
out_eia923__boiler_fuel,2012-03-01,7153
out_eia923__boiler_fuel,2012-04-01,7151
out_eia923__boiler_fuel,2012-05-01,7151
out_eia923__boiler_fuel,2012-06-01,7153
out_eia923__boiler_fuel,2012-07-01,7153
out_eia923__boiler_fuel,2012-08-01,7155
out_eia923__boiler_fuel,2012-09-01,7153
out_eia923__boiler_fuel,2012-10-01,7151
out_eia923__boiler_fuel,2012-11-01,7146
out_eia923__boiler_fuel,2012-12-01,7150
out_eia923__boiler_fuel,2013-01-01,8331
out_eia923__boiler_fuel,2013-02-01,8331
out_eia923__boiler_fuel,2013-03-01,8331
out_eia923__boiler_fuel,2013-04-01,8331
out_eia923__boiler_fuel,2013-05-01,8330
out_eia923__boiler_fuel,2013-06-01,8331
out_eia923__boiler_fuel,2013-07-01,8331
out_eia923__boiler_fuel,2013-08-01,8331
out_eia923__boiler_fuel,2013-09-01,8331
out_eia923__boiler_fuel,2013-10-01,8331
out_eia923__boiler_fuel,2013-11-01,8331
out_eia923__boiler_fuel,2013-12-01,8331
out_eia923__boiler_fuel,2014-01-01,11084
out_eia923__boiler_fuel,2014-02-01,11084
out_eia923__boiler_fuel,2014-03-01,11085
out_eia923__boiler_fuel,2014-04-01,11085
out_eia923__boiler_fuel,2014-05-01,11084
out_eia923__boiler_fuel,2014-06-01,11084
out_eia923__boiler_fuel,2014-07-01,11085
out_eia923__boiler_fuel,2014-08-01,11085
out_eia923__boiler_fuel,2014-09-01,11085
out_eia923__boiler_fuel,2014-10-01,11085
out_eia923__boiler_fuel,2014-11-01,11084
out_eia923__boiler_fuel,2014-12-01,11085
out_eia923__boiler_fuel,2015-01-01,9737
out_eia923__boiler_fuel,2015-02-01,9737
out_eia923__boiler_fuel,2015-03-01,9737
out_eia923__boiler_fuel,2015-04-01,9737
out_eia923__boiler_fuel,2015-05-01,9737
out_eia923__boiler_fuel,2015-06-01,9737
out_eia923__boiler_fuel,2015-07-01,9737
out_eia923__boiler_fuel,2015-08-01,9737
out_eia923__boiler_fuel,2015-09-01,9737
out_eia923__boiler_fuel,2015-10-01,9737
out_eia923__boiler_fuel,2015-11-01,9737
out_eia923__boiler_fuel,2015-12-01,9737
out_eia923__boiler_fuel,2016-01-01,9670
out_eia923__boiler_fuel,2016-02-01,9670
out_eia923__boiler_fuel,2016-03-01,9670
out_eia923__boiler_fuel,2016-04-01,9670
out_eia923__boiler_fuel,2016-05-01,9670
out_eia923__boiler_fuel,2016-06-01,9670
out_eia923__boiler_fuel,2016-07-01,9670
out_eia923__boiler_fuel,2016-08-01,9670
out_eia923__boiler_fuel,2016-09-01,9670
out_eia923__boiler_fuel,2016-10-01,9670
out_eia923__boiler_fuel,2016-11-01,9670
out_eia923__boiler_fuel,2016-12-01,9670
out_eia923__boiler_fuel,2017-01-01,9353
out_eia923__boiler_fuel,2017-02-01,9353
out_eia923__boiler_fuel,2017-03-01,9353
out_eia923__boiler_fuel,2017-04-01,9353
out_eia923__boiler_fuel,2017-05-01,9355
out_eia923__boiler_fuel,2017-06-01,9357
out_eia923__boiler_fuel,2017-07-01,9357
out_eia923__boiler_fuel,2017-08-01,9357
out_eia923__boiler_fuel,2017-09-01,9357
out_eia923__boiler_fuel,2017-10-01,9357
out_eia923__boiler_fuel,2017-11-01,9352
out_eia923__boiler_fuel,2017-12-01,9353
out_eia923__boiler_fuel,2018-01-01,9457
out_eia923__boiler_fuel,2018-02-01,9456
out_eia923__boiler_fuel,2018-03-01,9457
out_eia923__boiler_fuel,2018-04-01,9457
out_eia923__boiler_fuel,2018-05-01,9457
out_eia923__boiler_fuel,2018-06-01,9457
out_eia923__boiler_fuel,2018-07-01,9457
out_eia923__boiler_fuel,2018-08-01,9457
out_eia923__boiler_fuel,2018-09-01,9457
out_eia923__boiler_fuel,2018-10-01,9457
out_eia923__boiler_fuel,2018-11-01,9457
out_eia923__boiler_fuel,2018-12-01,9457
out_eia923__boiler_fuel,2019-01-01,9287
out_eia923__boiler_fuel,2019-02-01,9287
out_eia923__boiler_fuel,2019-03-01,9287
out_eia923__boiler_fuel,2019-04-01,9287
out_eia923__boiler_fuel,2019-05-01,9288
out_eia923__boiler_fuel,2019-06-01,9288
out_eia923__boiler_fuel,2019-07-01,9288
out_eia923__boiler_fuel,2019-08-01,9288
out_eia923__boiler_fuel,2019-09-01,9288
out_eia923__boiler_fuel,2019-10-01,9288
out_eia923__boiler_fuel,2019-11-01,9288
out_eia923__boiler_fuel,2019-12-01,9286
out_eia923__boiler_fuel,2020-01-01,9055
out_eia923__boiler_fuel,2020-02-01,9054
out_eia923__boiler_fuel,2020-03-01,9055
out_eia923__boiler_fuel,2020-04-01,9053
out_eia923__boiler_fuel,2020-05-01,9054
out_eia923__boiler_fuel,2020-06-01,9052
out_eia923__boiler_fuel,2020-07-01,9052
out_eia923__boiler_fuel,2020-08-01,9052
out_eia923__boiler_fuel,2020-09-01,9052
out_eia923__boiler_fuel,2020-10-01,9052
out_eia923__boiler_fuel,2020-11-01,9052
out_eia923__boiler_fuel,2020-12-01,9052
out_eia923__boiler_fuel,2021-01-01,8901
