year_index,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
chp_cogen_industrial_customers,-1,-1,-1,-1,-1,-1,-1,-1,46,46,-1,-1,-1,-1,-1,-1,-1
chp_cogen_transportation_customers,-1,-1,-1,-1,-1,-1,-1,-1,47,47,-1,-1,-1,-1,-1,-1,-1
chp_cogen_total_customers,-1,-1,-1,-1,-1,-1,-1,-1,48,48,-1,-1,-1,-1,-1,-1,-1
other_residential_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,49,49,44,44,44,44,65,66,66
other_commercial_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,50,50,45,45,45,45,66,67,67
other_industrial_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,51,51,46,46,46,46,67,68,68
other_transportation_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,52,52,47,47,47,47,68,69,69
other_total_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,53,53,48,48,48,48,69,70,70
other_residential_capacity,-1,-1,-1,-1,-1,-1,-1,-1,54,54,34,34,34,34,55,56,56
other_commercial_capacity,-1,-1,-1,-1,-1,-1,-1,-1,55,55,35,35,35,35,56,57,57
other_industrial_capacity,-1,-1,-1,-1,-1,-1,-1,-1,56,56,36,36,36,36,57,58,58
other_transportation_capacity,-1,-1,-1,-1,-1,-1,-1,-1,57,57,37,37,37,37,58,59,59
other_total_capacity,-1,-1,-1,-1,-1,-1,-1,-1,58,58,38,38,38,38,59,60,60
other_residential_customers,-1,-1,-1,-1,-1,-1,-1,-1,59,59,39,39,39,39,60,61,61
other_commercial_customers,-1,-1,-1,-1,-1,-1,-1,-1,60,60,40,40,40,40,61,62,62
other_industrial_customers,-1,-1,-1,-1,-1,-1,-1,-1,61,61,41,41,41,41,62,63,63
other_transportation_customers,-1,-1,-1,-1,-1,-1,-1,-1,62,62,42,42,42,42,63,64,64
other_total_customers,-1,-1,-1,-1,-1,-1,-1,-1,63,63,43,43,43,43,64,65,65
total_residential_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,64,64,59,59,59,59,80,81,81
total_commercial_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,65,65,60,60,60,60,81,82,82
total_industrial_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,66,66,61,61,61,61,82,83,83
total_transportation_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,67,67,62,62,62,62,83,84,84
total_total_sold_to_utility,-1,-1,-1,-1,-1,-1,-1,-1,68,68,63,63,63,63,84,85,85
total_residential_capacity,-1,-1,-1,-1,-1,-1,-1,-1,69,69,49,49,49,49,70,71,71
total_commercial_capacity,-1,-1,-1,-1,-1,-1,-1,-1,70,70,50,50,50,50,71,72,72
total_industrial_capacity,-1,-1,-1,-1,-1,-1,-1,-1,71,71,51,51,51,51,72,73,73
total_transportation_capacity,-1,-1,-1,-1,-1,-1,-1,-1,72,72,52,52,52,52,73,74,74
total_total_capacity,-1,-1,-1,-1,-1,-1,-1,-1,73,73,53,53,53,53,74,75,75
total_residential_customers,-1,-1,-1,-1,-1,-1,-1,-1,74,74,54,54,54,54,75,76,76
total_commercial_customers,-1,-1,-1,-1,-1,-1,-1,-1,75,75,55,55,55,55,76,77,77
total_industrial_customers,-1,-1,-1,-1,-1,-1,-1,-1,76,76,56,56,56,56,77,78,78
total_transportation_customers,-1,-1,-1,-1,-1,-1,-1,-1,77,77,57,57,57,57,78,79,79
total_total_customers,-1,-1,-1,-1,-1,-1,-1,-1,78,78,58,58,58,58,79,80,80
type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5
balancing_authority_code,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,4,4
pv_residential_storage_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,16
pv_commercial_storage_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,17
pv_industrial_storage_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,18,18
pv_transportation_storage_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,19,19
pv_total_storage_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,20,20
pv_residential_storage_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21
pv_commercial_storage_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,22,22
pv_industrial_storage_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,23,23
pv_transportation_storage_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,24,24
pv_total_storage_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,25
pv_residential_virtual_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,26,26
pv_commercial_virtual_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,27,27
pv_industrial_virtual_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,28,28
pv_transportation_virtual_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,29,29
pv_total_virtual_capacity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,30,30
pv_residential_virtual_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,31,31
pv_commercial_virtual_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,32,32
pv_industrial_virtual_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,33,33
pv_transportation_virtual_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,34,34
pv_total_virtual_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,35,35
