year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,due_from_consumers_over_60_days,due_from_consumers_written_off,loan_delinquency_anticipated_pct,loan_delinquency_actual_pct,loan_delinquency_ytd_dollars,loan_default_anticipated_pct,loan_default_actual_pct,loan_default_ytd_dollars
2006,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,,,,,,
2007,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,,,,,,
2008,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,,,,,,
2009,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,,,,,,
2010,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,,,,,,
2011,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,,,,,,
2012,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2013,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2014,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2015,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2016,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2017,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2018,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2019,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2020,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
2021,rusborrowerid,borrowername,year,period,amountdueover60days,amountwrittenoffduringyear,anticipatedloandelinquency,actualloandelinquency,totalloandelinquencydollarsytd,anticipatedloandefault,actualloandefault,totalloandefaultdollarsytd
