year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,residential_excluding_seasonal_customers_num_december,residential_excluding_seasonal_customers_num_avg,residential_excluding_seasonal_kwh,residential_excluding_seasonal_revenue,residential_seasonal_customers_num_december,residential_seasonal_customers_num_avg,residential_seasonal_kwh,residential_seasonal_revenue,irrigation_customers_num_december,irrigation_customers_num_avg,irrigation_kwh,irrigation_revenue,commercial_and_industrial_small_customers_num_december,commercial_and_industrial_small_customers_num_avg,commercial_and_industrial_small_kwh,commercial_and_industrial_small_revenue,commercial_and_industrial_large_customers_num_december,commercial_and_industrial_large_customers_num_avg,commercial_and_industrial_large_kwh,commercial_and_industrial_large_revenue,street_lighting_customers_num_december,street_lighting_customers_num_avg,street_lighting_kwh,street_lighting_revenue,public_other_customers_num_december,public_other_customers_num_avg,public_other_kwh,public_other_revenue,sales_for_resale_rus_borrowers_customers_num_december,sales_for_resale_rus_borrowers_customers_num_avg,sales_for_resale_rus_borrowers_kwh,sales_for_resale_rus_borrowers_revenue,sales_for_resale_other_customers_num_december,sales_for_resale_other_customers_num_avg,sales_for_resale_other_kwh,sales_for_resale_other_revenue,total_customers_num_december,total_customers_num_avg,total_kwh,total_revenue,transmission_revenue,other_electric_revenue,own_use_kwh,purchased_kwh,generated_kwh,purchases_and_generation_cost,interchange_kwh,peak_kwh,is_peak_coincident
2006,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2007,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2008,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2009,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2010,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,transmissionrevenue,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2011,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,transmissionrevenue,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2012,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,transmissionrevenue,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2013,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,transmissionrevenue,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2014,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,transmissionrevenue,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
2015,rusborrowerid,borrowername,year,period,resexnoconsumersdec,resexnoconsumersaverage,resexkwhsoldtotal,resexrevenuetotal,resnoconsumersdec,resnoconsumersaverage,reskwhsoldtotal,resrevenuetotal,irrigationnoconsumersdec,irrigationnoconsumersaverage,irrigationkwhsoldtotal,irrigationrevenuetotal,commlessnoconsumersdec,commlessnoconsumersaverage,commlesskwhsoldtotal,commlessrevenuetotal,commnoconsumersdec,commnoconsumersaverage,commkwhsoldtotal,commrevenuetotal,pubhwynoconsumersdec,pubhwynoconsumersaverage,pubhwykwhsoldtotal,pubhwyrevenuetotal,othernoconsumersdec,othernoconsumersaverage,otherkwhsoldtotal,otherrevenuetotal,salesrusnoconsumersdec,salesrusnoconsumersaverage,salesruskwhsoldtotal,salesrusrevenuetotal,salesothernoconsumersdec,salesothernoconsumersaverage,salesotherkwhsoldtotal,salesotherrevenuetotal,totalnoconsumersdec,totalnoconsumersaverage,totalkwhsold,totalrevenue,transmissionrevenue,otherelectricrevenue,kwhownuse,totalkwhpurchased,totalkwhgenerated,costofpurchasesandgeneration,interchangekwhnet,peaksum,iscoincident
