year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,utility_plant_in_service_assets,construction_work_in_progress_assets,total_utility_plant_assets,depreciation_and_amortization_assets,net_utility_plant_assets,non_utility_property_asset,investments_subsidiary_companies_assets,investments_associated_orgs_patronage_capital_assets,investments_associated_orgs_other_general_funds_assets,investments_associated_orgs_other_non_general_funds_assets,investments_economic_development_assets,investments_other_assets,special_funds_assets,total_other_property_and_investments_assets,cash_general_funds_assets,cash_construction_funds_trustee_assets,special_deposits_assets,investments_temporary_assets,notes_receivable_assets,accounts_receivable_sales_of_energy_assets,accounts_receivable_other_assets,renewable_energy_credits_assets,materials_and_supplies_assets,prepayments_assets,other_current_and_accrued_assets,total_current_and_accrued_assets,regulatory_assets,other_deferred_debits_assets,total_assets,memberships_liabilities,patronage_capital_liabilities,operating_margins_prior_years_liabilities,operating_margins_current_year_liabilities,non_operating_margins_liabilities,other_margins_and_equities_liabilities,total_margins_and_equities_liabilities,long_term_debt_rus_liabilities,long_term_debt_ffb_rus_guaranteed_liabilities,long_term_debt_other_rus_guaranteed_liabilities,long_term_debt_other_liabilities,long_term_debt_rus_economic_development_liabilities,payments_unapplied_liabilities,total_long_term_debt_liabilities,noncurrent_obligations_under_capital_leases_liabilities,noncurrent_obligations_asset_retirement_liabilities,total_noncurrent_obligations_liabilities,notes_payable_liabilities,accounts_payable_liabilities,consumer_deposits_liabilities,current_maturities_long_term_debt_liabilities,economic_development_liabilities,current_maturities_capital_leases_liabilities,other_current_and_accrued_liabilities_liabilities,total_current_and_accrued_liabilities_liabilities,regulatory_liabilities,other_deferred_credits_liabilities,total_liabilities_and_other_credits_liabilities
2006,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2007,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2008,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2009,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2010,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,renewableenergycredits,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2011,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,renewableenergycredits,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2012,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,renewableenergycredits,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2013,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,renewableenergycredits,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2014,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,renewableenergycredits,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
2015,rusborrowerid,borrowername,year,period,totalutilityplantinservice,constructionworkinprogress,totalutilityplant,accumprovisionfordepreciationandamort,netutilityplant,nonutilitypropertynet,investmentsinsubsidiarycompanies,investinassocorgpatronagecapital,investinassocorgothergeneralfunds,investinassocorgothernongeneralfunds,investmentsineconomicdevelopmentprojects,otherinvestments,specialfunds,totalotherpropertyandinvestments,cashgeneralfunds,cashconstructionfundstrustee,specialdeposits,temporaryinvestments,notesreceivablenet,accountsreceivablesalesofenergynet,accountsreceivableothernet,renewableenergycredits,materialsandsupplieselectricandother,prepayments,othercurrentandaccruedassets,totalcurrentandaccruedassets,regulatoryassets,otherdeferreddebits,totalassetsandotherdebits,memberships,patronagecapital,operatingmarginsprioryears,operatingmarginscurrentyear,nonoperatingmargins,othermarginsandequities,totalmarginsandequities,longtermdebtrusnet,longtermdebtffbrusguaranteed,longtermdebtotherrusguaranteed,longtermdebtothernet,longtermdebtrusecondevelnet,paymentsunapplied,totallongtermdebt,obligationsundercapitalleasesnoncurrent,assetretirementobligations,totalothernoncurrentliabilities,notespayable,accountspayable,consumerdeposits,currentmaturitieslongtermdebt,economicdevelopment,currentmaturitiescapitalleases,othercurrentandaccruedliabilities,totalcurrentandaccruedliabilities,regulatoryliabilities,otherdeferredcredits,totalliabilitiesandothercredits
