year_index,census_division_and_state,coal_january,coal_february,coal_march,coal_april,coal_may,coal_june,coal_july,coal_august,coal_september,coal_october,coal_november,coal_december,oil_january,oil_february,oil_march,oil_april,oil_may,oil_june,oil_july,oil_august,oil_september,oil_october,oil_november,oil_december,petcoke_january,petcoke_february,petcoke_march,petcoke_april,petcoke_may,petcoke_june,petcoke_july,petcoke_august,petcoke_september,petcoke_october,petcoke_november,petcoke_december
2009,,coal_jan,coal_feb,coal_mar,coal_apr,coal_may,coal_jun,coal_jul,coal_aug,coal_sep,coal_oct,coal_nov,coal_dec,oil_jan,oil_feb,oil_mar,oil_apr,oil_may,oil_jun,oil_jul,oil_aug,oil_sep,oil_oct,oil_nov,oil_dec,petcoke_jan,petcoke_feb,petcoke_mar,petcoke_apr,petcoke_may,petcoke_jun,petcoke_jul,petcoke_aug,petcoke_sep,petcoke_oct,petcoke_nov,petcoke_dec
2010,,coal_jan,coal_feb,coal_mar,coal_apr,coal_may,coal_jun,coal_jul,coal_aug,coal_sep,coal_oct,coal_nov,coal_dec,oil_jan,oil_feb,oil_mar,oil_apr,oil_may,oil_jun,oil_jul,oil_aug,oil_sep,oil_oct,oil_nov,oil_dec,petcoke_jan,petcoke_feb,petcoke_mar,petcoke_apr,petcoke_may,petcoke_jun,petcoke_jul,petcoke_aug,petcoke_sep,petcoke_oct,petcoke_nov,petcoke_dec
2011,region_name,coal_jan,coal_feb,coal_mar,coal_apr,coal_may,coal_jun,coal_jul,coal_aug,coal_sep,coal_oct,coal_nov,coal_dec,oil_jan,oil_feb,oil_mar,oil_apr,oil_may,oil_jun,oil_jul,oil_aug,oil_sep,oil_oct,oil_nov,oil_dec,petcoke_jan,petcoke_feb,petcoke_mar,petcoke_apr,petcoke_may,petcoke_jun,petcoke_jul,petcoke_aug,petcoke_sep,petcoke_oct,petcoke_nov,petcoke_dec
2012,census_division_and_state,coal_january,coal_february,coal_march,coal_april,coal_may,coal_june,coal_july,coal_august,coal_september,coal_october,coal_november,coal_december,oil_january,oil_february,oil_march,oil_april,oil_may,oil_june,oil_july,oil_august,oil_september,oil_october,oil_november,oil_december,petcoke_january,petcoke_february,petcoke_march,petcoke_april,petcoke_may,petcoke_june,petcoke_july,petcoke_august,petcoke_september,petcoke_october,petcoke_november,petcoke_december
2013,region_name,coal_jan,coal_feb,coal_mar,coal_apr,coal_may,coal_jun,coal_jul,coal_aug,coal_sep,coal_oct,coal_nov,coal_dec,oil_jan,oil_feb,oil_mar,oil_apr,oil_may,oil_jun,oil_jul,oil_aug,oil_sep,oil_oct,oil_nov,oil_dec,petcoke_jan,petcoke_feb,petcoke_mar,petcoke_apr,petcoke_may,petcoke_jun,petcoke_jul,petcoke_aug,petcoke_sep,petcoke_oct,petcoke_nov,petcoke_dec
2014,census_division_and_state,coal_january,coal_february,coal_march,coal_april,coal_may,coal_june,coal_july,coal_august,coal_september,coal_october,coal_november,coal_december,oil_january,oil_february,oil_march,oil_april,oil_may,oil_june,oil_july,oil_august,oil_september,oil_october,oil_november,oil_december,petcoke_january,petcoke_february,petcoke_march,petcoke_april,petcoke_may,petcoke_june,petcoke_july,petcoke_august,petcoke_september,petcoke_october,petcoke_november,petcoke_december
2015,census_division_and_state,coal_january,coal_february,coal_march,coal_april,coal_may,coal_june,coal_july,coal_august,coal_september,coal_october,coal_november,coal_december,oil_january,oil_february,oil_march,oil_april,oil_may,oil_june,oil_july,oil_august,oil_september,oil_october,oil_november,oil_december,petcoke_january,petcoke_february,petcoke_march,petcoke_april,petcoke_may,petcoke_june,petcoke_july,petcoke_august,petcoke_september,petcoke_october,petcoke_november,petcoke_december
2016,census_division_and_state,coal_january,coal_february,coal_march,coal_april,coal_may,coal_june,coal_july,coal_august,coal_september,coal_october,coal_november,coal_december,oil_january,oil_february,oil_march,oil_april,oil_may,oil_june,oil_july,oil_august,oil_september,oil_october,oil_november,oil_december,petcoke_january,petcoke_february,petcoke_march,petcoke_april,petcoke_may,petcoke_june,petcoke_july,petcoke_august,petcoke_september,petcoke_october,petcoke_november,petcoke_december
2017,census_division_and_state,coal_january,coal_february,coal_march,coal_april,coal_may,coal_june,coal_july,coal_august,coal_september,coal_october,coal_november,coal_december,oil_january,oil_february,oil_march,oil_april,oil_may,oil_june,oil_july,oil_august,oil_september,oil_october,oil_november,oil_december,petcoke_january,petcoke_february,petcoke_march,petcoke_april,petcoke_may,petcoke_june,petcoke_july,petcoke_august,petcoke_september,petcoke_october,petcoke_november,petcoke_december
2018,census_division_and_state,coal_january,coal_february,coal_march,coal_april,coal_may,coal_june,coal_july,coal_august,coal_september,coal_october,coal_november,coal_december,oil_january,oil_february,oil_march,oil_april,oil_may,oil_june,oil_july,oil_august,oil_september,oil_october,oil_november,oil_december,petcoke_january,petcoke_february,petcoke_march,petcoke_april,petcoke_may,petcoke_june,petcoke_july,petcoke_august,petcoke_september,petcoke_october,petcoke_november,petcoke_december
